doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_kirchengesenge_1596,head,0,0,True,1,"EPHEMERIS, HYMNORVM EC CLESIASTICORVM ex Patribus selecta. Das ist/ Geistliche Kirchen Gesenge/ auß den Lehrern zusamen gelesen/vnd zum Teglichen gebrauch in gemeine bekante Melodeien verdeutscht vnd vbersetzt/ Durch FRANCISCVM ALGERMAN. Sampt einer Vorrede D. Basilij Sailers. Helmstadt/ Gedruckt durch Jacobum Lucium/ Im Jahr 1596.",ephemeris hymnorvm ec clesiasticorvm ex patribus selecta das ist geistliche kirchen gesenge auß den lehrern zusamen gelesen vnd zum teglichen gebrauch in gemeine bekante melodeien verdeutscht vnd vbersetzt durch franciscvm algerman sampt einer vorrede d basilij sailers helmstadt gedruckt durch jacobum lucium im jahr,ephemeris hymnorum ec clesiasticorum ex patribus selecta das ist geistliche kirchen gesenge auss den lehrern zusamen gelesen und zum teglichen gebrauch in gemeine bekante melodeien uerdeutscht und ubersetzt durch franciscum algerman sampt einer uorrede d basilii sailers helmstadt gedruckt durch iacobum lucium im iahr
nn_kirchengesenge_1596,head,1,0,True,1,EXEGESIS IN INSIGNIA REGVM DANIAE &c.,exegesis in insignia regvm daniae &c,exegesis in insignia regum daniae etc
nn_kirchengesenge_1596,body,2,0,True,4,H. B.,h b,h b
nn_kirchengesenge_1596,head,3,0,True,4,Der Kön. Mayt. zu Dennemarck / Schweden / Norwegen / Gotten vnd Wenden / vnd Hertzogen zu Schleßweig / Hollstein / Stormarn vnd Dittmarschen / Graffen zu Oldenburg vnd Delmenhorst / Wapen.,der kön mayt zu dennemarck schweden norwegen gotten vnd wenden vnd hertzogen zu schleßweig hollstein stormarn vnd dittmarschen graffen zu oldenburg vnd delmenhorst wapen,der kon mayt zu dennemarck schweden norwegen gotten und wenden und hertzogen zu schlessweig hollstein stormarn und dittmarschen graffen zu oldenburg und delmenhorst wapen
nn_kirchengesenge_1596,body,4,0,True,6,DAß Königreich zu Dennemarck Drey Lewen füret keck vñ starck / Im gülden Feldt / ein gkrönter Lew Ein hellebarten beugt ohn schew / Im Rubin feldt / bedeut Norwegen Das Königreich / nun steht dagegn Im gülden Feldt / ein Lew der blaw Ist Gotten / vnd daneben schaw Im lasur Feldt / drey gülden Krohn Gehören dem Reich Schweden schon / Darunten steht der Wenden Drach Im blutign Feldt / hab ferner acht Auff zwen Lewen im gülden Schildt Sind lasur farb / grimmig vnd wildt / Vnd dem Hertzogthumb Schlesseweig / Holstein dabey thut füren gleich Im Rubin feldt / ein Nesselbladt / Stormarn im gleichen Felde hat Ein weissen Schwan / vnd ebner maß Ein grüsten Reuter fürt Dittmarsch / Ein klein Schild in der mit thut stehn Darin man thut zwey Felder sehn / Eins mit vier Balcken / Rubin vnd Goldt Ist Delmenhorst / daß zeichen holdt Des Creutzes in eim lasur felt Die Grafsschafft Oldenburg behelt Von welcher jhren vrsprung hatt Die Königliche Mayestatt Zu Dennemarck / die ferner sind Entsprossen von dem Wedekind Der Sachssen König / so hienorn Regiret für acht hundert Jahrn / Ein alts Geschlecht / löblich vnd gutt / Vnd fürt drumb sieben Lewen muht / So durch daß Creutz Christo ergebn / Der verleihe ein langes Lebn / Allen so diesem Stam verwandt / Regier ein jedn in seinem standt / Vnd gebe jhn nach dieser zeit / Die ewig Ruh vnd Seeligkeit.,daß königreich zu dennemarck drey lewen füret keck vñ starck im gülden feldt ein gkrönter lew ein hellebarten beugt ohn schew im rubin feldt bedeut norwegen das königreich nun steht dagegn im gülden feldt ein lew der blaw ist gotten vnd daneben schaw im lasur feldt drey gülden krohn gehören dem reich schweden schon darunten steht der wenden drach im blutign feldt hab ferner acht auff zwen lewen im gülden schildt sind lasur farb grimmig vnd wildt vnd dem hertzogthumb schlesseweig holstein dabey thut füren gleich im rubin feldt ein nesselbladt stormarn im gleichen felde hat ein weissen schwan vnd ebner maß ein grüsten reuter fürt dittmarsch ein klein schild in der mit thut stehn darin man thut zwey felder sehn eins mit vier balcken rubin vnd goldt ist delmenhorst daß zeichen holdt des creutzes in eim lasur felt die grafsschafft oldenburg behelt von welcher jhren vrsprung hatt die königliche mayestatt zu dennemarck die ferner sind entsprossen von dem wedekind der sachssen könig so hienorn regiret für acht hundert jahrn ein alts geschlecht löblich vnd gutt vnd fürt drumb sieben lewen muht so durch daß creutz christo ergebn der verleihe ein langes lebn allen so diesem stam verwandt regier ein jedn in seinem standt vnd gebe jhn nach dieser zeit die ewig ruh vnd seeligkeit,dass konigreich zu dennemarck drey lewen furet keck und starck im gulden feldt ein gkronter lew ein hellebarten beugt ohn schew im rubin feldt bedeut norwegen das konigreich nun steht dagegn im gulden feldt ein lew der blaw ist gotten und daneben schaw im lasur feldt drey gulden krohn gehoren dem reich schweden schon darunten steht der wenden drach im blutign feldt hab ferner acht auff zwen lewen im gulden schildt sind lasur farb grimmig und wildt und dem hertzogthumb schlesseweig holstein dabey thut furen gleich im rubin feldt ein nesselbladt stormarn im gleichen felde hat ein weissen schwan und ebner mass ein grusten reuter furt dittmarsch ein klein schild in der mit thut stehn darin man thut zwey felder sehn eins mit uier balcken rubin und goldt ist delmenhorst dass zeichen holdt des creutzes in eim lasur felt die grafsschafft oldenburg behelt uon welcher ihren ursprung hatt die konigliche mayestatt zu dennemarck die ferner sind entsprossen uon dem wedekind der sachssen konig so hienorn regiret fur acht hundert iahrn ein alts geschlecht loblich und gutt und furt drumb sieben lewen muht so durch dass creutz christo ergebn der uerleihe ein langes lebn allen so diesem stam uerwandt regier ein iedn in seinem standt und gebe ihn nach dieser zeit die ewig ruh und seeligkeit
nn_kirchengesenge_1596,head,5,0,True,6,Vorrede / Dem Christlichen Leser wünschet Basilius Sattler D. Gottes gnad vnnd Segen durch vnsern Herrn Jesum Christum.,vorrede dem christlichen leser wünschet basilius sattler d gottes gnad vnnd segen durch vnsern herrn jesum christum,uorrede dem christlichen leser wunschet basilius sattler d gottes gnad unnd segen durch unsern herrn iesum christum
nn_kirchengesenge_1596,body,6,0,False,6,CHristlicher lieber Leser / ich hab gern gesehen / daß diese Hymni vnd geistliche Gesenge der alten rechtgleubigẽ Kirchen möchten zusamen gedruckt / vñ in die Teutsche sprach gebracht werden.,christlicher lieber leser ich hab gern gesehen daß diese hymni vnd geistliche gesenge der alten rechtgleubigẽ kirchen möchten zusamen gedruckt vñ in die teutsche sprach gebracht werden,christlicher lieber leser ich hab gern gesehen dass diese hymni und geistliche gesenge der alten rechtgleubigen kirchen mochten zusamen gedruckt und in die teutsche sprach gebracht werden
nn_kirchengesenge_1596,body,6,1,True,6,Denn da sehen wir den Christlichen eiffer vñ einbrünstige andacht der lieben Alten / die Gott stets / Tag vnd Nacht / für Augen gehabt / jme frü vnd spat für seine Göttliche gnad vnnd wolthaten gedancket / vñ sich jme mit einem hertzlichen Gebet / befohlen haben / daß wir vns wol schemen mögen / daß wir bey solchem hellen Liecht des Göttlichen Worts vnd erkentnuß Gottes / zum Gebet vnnd Dancksagung / so gantz kalt / faul vnd verdrossen sein.,denn da sehen wir den christlichen eiffer vñ einbrünstige andacht der lieben alten die gott stets tag vnd nacht für augen gehabt jme frü vnd spat für seine göttliche gnad vnnd wolthaten gedancket vñ sich jme mit einem hertzlichen gebet befohlen haben daß wir vns wol schemen mögen daß wir bey solchem hellen liecht des göttlichen worts vnd erkentnuß gottes zum gebet vnnd dancksagung so gantz kalt faul vnd verdrossen sein,denn da sehen wir den christlichen eiffer und einbrunstige andacht der lieben alten die gott stets tag und nacht fur augen gehabt ime fru und spat fur seine gottliche gnad unnd wolthaten gedancket und sich ime mit einem hertzlichen gebet befohlen haben dass wir uns wol schemen mogen dass wir bey solchem hellen liecht des gottlichen worts und erkentnuss gottes zum gebet unnd dancksagung so gantz kalt faul und uerdrossen sein
nn_kirchengesenge_1596,body,7,0,True,7,Ach wie woll stehet es / wenn ein Mensch stets an Gott gedenckt / erkent vñ behertzigt seine Göttliche Weißheit / Allmacht vnd Väterliche Trew vnd vnaussprechliche Gůtte / die er vns nit allein in seinem Göttlichen Wort geoffenbaret hat / sondern auch an der Schöpffung vnnd erhaltung Himels vnd der Erden / vnd aller Creaturen / vnd insonderheit in der erlösung / heiligung vnd beschůtzung seiner lieben Kirchen / teglich erzeigt vud für augen stellet / vnd nimbt daher vrsach / daß er sich zu Gott / als seinem lieben Vater alles guten versiehet / dãcket jhme für seine gutthaten / vñ befielt sich jme mit Leib vnd Seele / vnd bittet / daß er jn für allem vbel behüten vnd bewaren wolle.,ach wie woll stehet es wenn ein mensch stets an gott gedenckt erkent vñ behertzigt seine göttliche weißheit allmacht vnd väterliche trew vnd vnaussprechliche gůtte die er vns nit allein in seinem göttlichen wort geoffenbaret hat sondern auch an der schöpffung vnnd erhaltung himels vnd der erden vnd aller creaturen vnd insonderheit in der erlösung heiligung vnd beschůtzung seiner lieben kirchen teglich erzeigt vud für augen stellet vnd nimbt daher vrsach daß er sich zu gott als seinem lieben vater alles guten versiehet dãcket jhme für seine gutthaten vñ befielt sich jme mit leib vnd seele vnd bittet daß er jn für allem vbel behüten vnd bewaren wolle,ach wie woll stehet es wenn ein mensch stets an gott gedenckt erkent und behertzigt seine gottliche weissheit allmacht und uaterliche trew und unaussprechliche gutte die er uns nit allein in seinem gottlichen wort geoffenbaret hat sondern auch an der schopffung unnd erhaltung himels und der erden und aller creaturen und insonderheit in der erlosung heiligung und beschutzung seiner lieben kirchen teglich erzeigt uud fur augen stellet und nimbt daher ursach dass er sich zu gott als seinem lieben uater alles guten uersiehet dancket ihme fur seine gutthaten und befielt sich ime mit leib und seele und bittet dass er in fur allem ubel behuten und bewaren wolle
nn_kirchengesenge_1596,body,8,0,True,8,Also were es hergangen / vnnd zwar viel herlicher / als jtzt leider nach dem fall / auch von den heiligen geschicht / wenn die Menschen nicht weren in die Sünd gerahten / da würden sie Gott stets fůr augen vnd im hertzen gehabt / seine Göttliche Weißheit / Allmacht / Gůte vnd Trewe betrachtet / jhn geliebt / gelobt / jm gedanckt / vnd sich jm / als Kinder jrem Vater befohlẽ haben.,also were es hergangen vnnd zwar viel herlicher als jtzt leider nach dem fall auch von den heiligen geschicht wenn die menschen nicht weren in die sünd gerahten da würden sie gott stets fůr augen vnd im hertzen gehabt seine göttliche weißheit allmacht gůte vnd trewe betrachtet jhn geliebt gelobt jm gedanckt vnd sich jm als kinder jrem vater befohlẽ haben,also were es hergangen unnd zwar uiel herlicher als itzt leider nach dem fall auch uon den heiligen geschicht wenn die menschen nicht weren in die sund gerahten da wurden sie gott stets fur augen und im hertzen gehabt seine gottliche weissheit allmacht gute und trewe betrachtet ihn geliebt gelobt im gedanckt und sich im als kinder irem uater befohlen haben
nn_kirchengesenge_1596,body,9,0,False,8,Aber es ist leider nun darauß kommen / vnnd wil nirgents mehr mit vns fort / doch sollen wir / als die newgeborne.,aber es ist leider nun darauß kommen vnnd wil nirgents mehr mit vns fort doch sollen wir als die newgeborne,aber es ist leider nun darauss kommen unnd wil nirgents mehr mit uns fort doch sollen wir als die newgeborne
