doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1476_lydgate_stans,head,0,0,True,2,.Stans puer ad menſam.,stans puer ad menſam,stans puer ad mensam
1476_lydgate_stans,body,1,0,False,3,mI dere childe firſt thy ſelf enable,mi dere childe firſt thy ſelf enable,mi dere childe first thy self enable
1476_lydgate_stans,body,1,1,False,3,With all thin herte to vertuoꝰ diſcipline,with all thin herte to vertuoꝰ diſcipline,with all thin herte to uertuocon discipline
1476_lydgate_stans,body,1,2,False,3,Afore thy ſouerayn ſtondyng at the table,afore thy ſouerayn ſtondyng at the table,afore thy souerayn stondyng at the table
1476_lydgate_stans,body,1,3,False,3,Diſpoſe thy yongthe after my doctrine,diſpoſe thy yongthe after my doctrine,dispose thy yongthe after my doctrine
1476_lydgate_stans,body,1,4,False,3,To alle norture thy corage enclyne,to alle norture thy corage enclyne,to alle norture thy corage enclyne
1476_lydgate_stans,body,1,5,False,3,Firſt whyle thou ſpekeſt be not recheles,firſt whyle thou ſpekeſt be not recheles,first whyle thou spekest be not recheles
1476_lydgate_stans,body,1,6,False,3,Kepe fote and fynger ſtyll in pees,kepe fote and fynger ſtyll in pees,kepe fote and fynger styll in pees
1476_lydgate_stans,body,1,7,False,3,Be ſymple of chere caſt not thy loke a ſyde,be ſymple of chere caſt not thy loke a ſyde,be symple of chere cast not thy loke a syde
1476_lydgate_stans,body,1,8,False,3,Gaſe not aboute tornyng ouer all,gaſe not aboute tornyng ouer all,gase not aboute tornyng ouer all
1476_lydgate_stans,body,1,9,False,3,Agayn the poſte lete not thy back abyd,agayn the poſte lete not thy back abyd,agayn the poste lete not thy back abyd
1476_lydgate_stans,body,1,10,False,3,Make not thy myrrour alſo of the wall,make not thy myrrour alſo of the wall,make not thy myrrour also of the wall
1476_lydgate_stans,body,1,11,False,3,Pyke not thy noſe and in eſpeciall,pyke not thy noſe and in eſpeciall,pyke not thy nose and in especiall
1476_lydgate_stans,body,1,12,False,3,Be right wel ware & ſette in thy thought,be right wel ware & ſette in thy thought,be right wel ware et sette in thy thought
1476_lydgate_stans,body,1,13,False,3,Afore thy ſouerayn cracche ne rubbe nought,afore thy ſouerayn cracche ne rubbe nought,afore thy souerayn cracche ne rubbe nought
1476_lydgate_stans,body,1,14,False,3,Who that ſpeketh to the in ony maner place,who that ſpeketh to the in ony maner place,who that speketh to the in ony maner place
1476_lydgate_stans,body,1,15,False,3,Lumpiſſhly caſt not thy hede a doun,lumpiſſhly caſt not thy hede a doun,lumpisshly cast not thy hede a doun
1476_lydgate_stans,body,1,16,False,3,But with ſad chere loke hym in the face,but with ſad chere loke hym in the face,but with sad chere loke hym in the face
1476_lydgate_stans,body,1,17,False,3,Walk tes in the toun,walk tes in the toun,walk tes in the toun
1476_lydgate_stans,body,1,18,False,3,Pare clene thy naylles thin handes waſſhe alſo,pare clene thy naylles thin handes waſſhe alſo,pare clene thy naylles thin handes wasshe also
1476_lydgate_stans,body,1,19,False,3,To fore mete and whan thou doſt aryſe,to fore mete and whan thou doſt aryſe,to fore mete and whan thou dost aryse
