doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1473_caxton_troye,body,0,0,False,2,HEre begynneth the volume intituled and named the recuyell of the historyes of Troye / composed and drawen out of dyuerce bookes of latyn in to frensshe by the ryght venerable persone and worshipfull man.,here begynneth the volume intituled and named the recuyell of the historyes of troye composed and drawen out of dyuerce bookes of latyn in to frensshe by the ryght venerable persone and worshipfull man,here begynneth the uolume intituled and named the recuyell of the historyes of troye composed and drawen out of dyuerce bookes of latyn in to frensshe by the ryght uenerable persone and worshipfull man
1473_caxton_troye,body,0,1,False,2,Raoul le ffeure. preest and chapelayn vnto the ryght noble gloryous and myghty prynce in his tyme Phelip duc of Bourgoyne of Braband etc In the yere of the Incarnacion of our lord god a thousand foure honderd sixty and foure / And translated and drawen out of frenshe in to englisshe by Willyam Caxton mercer of þe cyte of London / at the coman̄demēt of the right hye myghty and vertuouse Pryncesse hys redoubtyd lady.,raoul le ffeure preest and chapelayn vnto the ryght noble gloryous and myghty prynce in his tyme phelip duc of bourgoyne of braband etc in the yere of the incarnacion of our lord god a thousand foure honderd sixty and foure and translated and drawen out of frenshe in to englisshe by willyam caxton mercer of þe cyte of london at the coman̄demēt of the right hye myghty and vertuouse pryncesse hys redoubtyd lady,raoul le ffeure preest and chapelayn unto the ryght noble gloryous and myghty prynce in his tyme phelip duc of bourgoyne of braband etc in the yere of the incarnacion of our lord god a thousand foure honderd sixty and foure and translated and drawen out of frenshe in to englisshe by willyam caxton mercer of the cyte of london at the comanndement of the right hye myghty and uertuouse pryncesse hys redoubtyd lady
1473_caxton_troye,body,0,2,False,2,Margarete by the grace of god.,margarete by the grace of god,margarete by the grace of god
1473_caxton_troye,body,0,3,True,2,Duchesse of Bourgoyne of Lotryk of Braband etc / Whiche sayd translacion and werke was begonne in Brugis in the Countee of Flaundres the fyrst day of marche the yere of the Incarnacion of our said lord god a thousand foure honderd sixty and eyghte / And ended and fynysshid in the holy cyte of Colen the .xix. day of septembre the yere of our sayd lord god a thousand foure honderd sixty and enleuen etc .,duchesse of bourgoyne of lotryk of braband etc whiche sayd translacion and werke was begonne in brugis in the countee of flaundres the fyrst day of marche the yere of the incarnacion of our said lord god a thousand foure honderd sixty and eyghte and ended and fynysshid in the holy cyte of colen the xix day of septembre the yere of our sayd lord god a thousand foure honderd sixty and enleuen etc,duchesse of bourgoyne of lotryk of braband etc whiche sayd translacion and werke was begonne in brugis in the countee of flaundres the fyrst day of marche the yere of the incarnacion of our said lord god a thousand foure honderd sixty and eyghte and ended and fynysshid in the holy cyte of colen the xix day of septembre the yere of our sayd lord god a thousand foure honderd sixty and enleuen etc
1473_caxton_troye,body,1,0,True,2,And on that other side of this leef foloweth the prologe,and on that other side of this leef foloweth the prologe,and on that other side of this leef foloweth the prologe
1473_caxton_troye,body,2,0,False,3,WHan I remembre that euery man is bounden by the comandement & counceyll of the wyse man to eschewe slouthe and ydlenes whyche is moder and nourysshar of vyces and ought to put my self vnto vertuous ocupacion and besynesse / Than I hauynge no grete charge of ocupacion folowynge the sayd counceyll / toke a frenshe booke and redde therin many strange and meruayllous historyes where in I had grete pleasyr and delyte / as well for the nouelte of the same as for the fayr langage of frenshe.,whan i remembre that euery man is bounden by the comandement & counceyll of the wyse man to eschewe slouthe and ydlenes whyche is moder and nourysshar of vyces and ought to put my self vnto vertuous ocupacion and besynesse than i hauynge no grete charge of ocupacion folowynge the sayd counceyll toke a frenshe booke and redde therin many strange and meruayllous historyes where in i had grete pleasyr and delyte as well for the nouelte of the same as for the fayr langage of frenshe,whan i remembre that euery man is bounden by the comandement et counceyll of the wyse man to eschewe slouthe and ydlenes whyche is moder and nourysshar of uyces and ought to put my self unto uertuous ocupacion and besynesse than i hauynge no grete charge of ocupacion folowynge the sayd counceyll toke a frenshe booke and redde therin many strange and meruayllous historyes where in i had grete pleasyr and delyte as well for the nouelte of the same as for the fayr langage of frenshe
1473_caxton_troye,body,2,1,True,3,/ whyche was in prose so well and compendiously sette and wreton / whiche me thought I vnderstood the sentence and substance of euery mater / And for so moche as this booke was newe and late maad and drawen in to frenshe / and neuer had seen hit in oure englissh tonge / I thought in my self hit shold be a good besynes to translate hyt in to oure englissh / to thende that hyt myght be had as well in the royame of Englond as in other landes / and also for to passe therwyth the tyme. and thus concluded in my self to begynne this sayd wrke / And forthwith toke penne and ynke and began boldly to renne forth as blynde bayard in thys presente werke whyche is named the recuyell of the troian historyes And afterward whan I remembryd my self of my symplenes and vnperfightnes that I had in bothe langages / that is to wete in frenshe & in englissh for in france was I neuer / and was born & lerned myn englissh in kente in the weeld where I doubte not is spoken as brode and rude englissh as is in ony place of englond & haue contynued by the space of / xxx. yere for the most parte in the contres of Braband. flandres holand and zeland and thus whan alle thyse thynges cam to fore me aftyr that y had made and wretyn a fyve or six quayers y fyll in dispayr of thys werke and purposid no more to haue contynuyd therin and tho quayers leyd a part and in two yere aftyr laboured no more in thys werke And was fully / in wyll to haue lefte hyt. tyll on a tyme hit fortuned that the ryght hyghe excellent and right vertuous prynces my ryght redoughted lady mylady Margarete by the grace of god suster vnto þe kynge of englond and of frāce. my souerayn lord Duchesse of Bourgoine of lotryk. of brabant. of lymburgh. and of luxenburgh Countes of fflādres of artoys & of bourgoine Palatynee of heynawd of holand of zelād and of namur Maruesse of þe holy empire. lady of ffryse of salius and of mechlyn sente for me to speke wyth her good grace of dyuerce maters among þe whyche y lete her hyenes haue knowleche of þe forsayd begynnyng of thys werke whiche anone comanded me to shewe the sayd .v. or .vi. quayers to her sayd grace and whan she had seen hem. anone she fonde a defaute in myn englissh whiche sche comāded me to amende ād more ouer comanded me straytli to contynue and make an ende of the resydue than not translated. whos dredefull comādement y durste in no wyse disobey because y am a seruāt vnto her sayde grace and resseiue of her yerly ffee and other many goode and grete benefetes. and also hope many moo to resseyne of her hyenes but forthwyth wente and labouryde in the sayde translacion aftyr my symple and pour connyng also nigh as y can folouyng myn auctour mekeli beseching the bounteuous hyenes of my said lady that of her benyuolence lifte to accepte & take in gree this symple & rude werke here folowyng. and yf ther be ony thyng wreton or sayd to her playsir. y shall thynke my labour well enployed and where as ther is defawte. þt she arette hyt to þe symplenes of my connyng whiche is ful small in this behalue and requyre & praye alle them that shall rede this sayd werke to correcte hyt & to hold me excusid of the rude & symple translacion And thus y ende my prologe. ..,whyche was in prose so well and compendiously sette and wreton whiche me thought i vnderstood the sentence and substance of euery mater and for so moche as this booke was newe and late maad and drawen in to frenshe and neuer had seen hit in oure englissh tonge i thought in my self hit shold be a good besynes to translate hyt in to oure englissh to thende that hyt myght be had as well in the royame of englond as in other landes and also for to passe therwyth the tyme and thus concluded in my self to begynne this sayd wrke and forthwith toke penne and ynke and began boldly to renne forth as blynde bayard in thys presente werke whyche is named the recuyell of the troian historyes and afterward whan i remembryd my self of my symplenes and vnperfightnes that i had in bothe langages that is to wete in frenshe & in englissh for in france was i neuer and was born & lerned myn englissh in kente in the weeld where i doubte not is spoken as brode and rude englissh as is in ony place of englond & haue contynued by the space of xxx yere for the most parte in the contres of braband flandres holand and zeland and thus whan alle thyse thynges cam to fore me aftyr that y had made and wretyn a fyve or six quayers y fyll in dispayr of thys werke and purposid no more to haue contynuyd therin and tho quayers leyd a part and in two yere aftyr laboured no more in thys werke and was fully in wyll to haue lefte hyt tyll on a tyme hit fortuned that the ryght hyghe excellent and right vertuous prynces my ryght redoughted lady mylady margarete by the grace of god suster vnto þe kynge of englond and of frāce my souerayn lord duchesse of bourgoine of lotryk of brabant of lymburgh and of luxenburgh countes of fflādres of artoys & of bourgoine palatynee of heynawd of holand of zelād and of namur maruesse of þe holy empire lady of ffryse of salius and of mechlyn sente for me to speke wyth her good grace of dyuerce maters among þe whyche y lete her hyenes haue knowleche of þe forsayd begynnyng of thys werke whiche anone comanded me to shewe the sayd v or vi quayers to her sayd grace and whan she had seen hem anone she fonde a defaute in myn englissh whiche sche comāded me to amende ād more ouer comanded me straytli to contynue and make an ende of the resydue than not translated whos dredefull comādement y durste in no wyse disobey because y am a seruāt vnto her sayde grace and resseiue of her yerly ffee and other many goode and grete benefetes and also hope many moo to resseyne of her hyenes but forthwyth wente and labouryde in the sayde translacion aftyr my symple and pour connyng also nigh as y can folouyng myn auctour mekeli beseching the bounteuous hyenes of my said lady that of her benyuolence lifte to accepte & take in gree this symple & rude werke here folowyng and yf ther be ony thyng wreton or sayd to her playsir y shall thynke my labour well enployed and where as ther is defawte þt she arette hyt to þe symplenes of my connyng whiche is ful small in this behalue and requyre & praye alle them that shall rede this sayd werke to correcte hyt & to hold me excusid of the rude & symple translacion and thus y ende my prologe,whyche was in prose so well and compendiously sette and wreton whiche me thought i understood the sentence and substance of euery mater and for so moche as this booke was newe and late maad and drawen in to frenshe and neuer had seen hit in oure englissh tonge i thought in my self hit shold be a good besynes to translate hyt in to oure englissh to thende that hyt myght be had as well in the royame of englond as in other landes and also for to passe therwyth the tyme and thus concluded in my self to begynne this sayd wrke and forthwith toke penne and ynke and began boldly to renne forth as blynde bayard in thys presente werke whyche is named the recuyell of the troian historyes and afterward whan i remembryd my self of my symplenes and unperfightnes that i had in bothe langages that is to wete in frenshe et in englissh for in france was i neuer and was born et lerned myn englissh in kente in the weeld where i doubte not is spoken as brode and rude englissh as is in ony place of englond et haue contynued by the space of xxx yere for the most parte in the contres of braband flandres holand and zeland and thus whan alle thyse thynges cam to fore me aftyr that y had made and wretyn a fyue or six quayers y fyll in dispayr of thys werke and purposid no more to haue contynuyd therin and tho quayers leyd a part and in two yere aftyr laboured no more in thys werke and was fully in wyll to haue lefte hyt tyll on a tyme hit fortuned that the ryght hyghe excellent and right uertuous prynces my ryght redoughted lady mylady margarete by the grace of god suster unto the kynge of englond and of france my souerayn lord duchesse of bourgoine of lotryk of brabant of lymburgh and of luxenburgh countes of fflandres of artoys et of bourgoine palatynee of heynawd of holand of zeland and of namur maruesse of the holy empire lady of ffryse of salius and of mechlyn sente for me to speke wyth her good grace of dyuerce maters among the whyche y lete her hyenes haue knowleche of the forsayd begynnyng of thys werke whiche anone comanded me to shewe the sayd u or ui quayers to her sayd grace and whan she had seen hem anone she fonde a defaute in myn englissh whiche sche comanded me to amende and more ouer comanded me straytli to contynue and make an ende of the resydue than not translated whos dredefull comandement y durste in no wyse disobey because y am a seruant unto her sayde grace and resseiue of her yerly ffee and other many goode and grete benefetes and also hope many moo to resseyne of her hyenes but forthwyth wente and labouryde in the sayde translacion aftyr my symple and pour connyng also nigh as y can folouyng myn auctour mekeli beseching the bounteuous hyenes of my said lady that of her benyuolence lifte to accepte et take in gree this symple et rude werke here folowyng and yf ther be ony thyng wreton or sayd to her playsir y shall thynke my labour well enployed and where as ther is defawte tht she arette hyt to the symplenes of my connyng whiche is ful small in this behalue and requyre et praye alle them that shall rede this sayd werke to correcte hyt et to hold me excusid of the rude et symple translacion and thus y ende my prologe
1473_caxton_troye,body,3,0,True,5,HEre foloweth þe ꝓlogue of that worshipful man Raoul le feure whiche was Auctor of this present book in the ffrensh tonge:,here foloweth þe ꝓlogue of that worshipful man raoul le feure whiche was auctor of this present book in the ffrensh tonge,here foloweth the prologue of that worshipful man raoul le feure whiche was auctor of this present book in the ffrensh tonge
1473_caxton_troye,body,4,0,False,5,WHan y behold & knowe the oppynyone of the men nourisshyd in ony synguler hystoryes of Troye and see and beholde also that of then to make a recuyel or gadryng to geder. y indigne haue resseyued the comandement of the ryght noble and right vertuous prynce.,whan y behold & knowe the oppynyone of the men nourisshyd in ony synguler hystoryes of troye and see and beholde also that of then to make a recuyel or gadryng to geder y indigne haue resseyued the comandement of the ryght noble and right vertuous prynce,whan y behold et knowe the oppynyone of the men nourisshyd in ony synguler hystoryes of troye and see and beholde also that of then to make a recuyel or gadryng to geder y indigne haue resseyued the comandement of the ryght noble and right uertuous prynce
1473_caxton_troye,body,4,1,False,5,Philippe by the grace of þe maker of alle graces.,philippe by the grace of þe maker of alle graces,philippe by the grace of the maker of alle graces
