doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
scheurl_leichpredigt_1597,head,0,0,True,1,Christliche Leichpredigt BEy der Begreb nuß/des Edlen/Gestrengen vnd Ehrnvesten Jungkern / Sigmund Juliussen Mynsingern von Frundeck / des Fürstenthumbs Braunschweig Erb Cammerern / etc so auff S. Galli tag / den 16. Octobr. vor Mittag vmb 2. vhr / zu Grossen Alßleben seliglich im HErrn entschlaffen / vnd folgends den 20. dieses / auff Simonis vnd Iudae in der Pfarrkirchen zu Helmstedt Christlich vnd ehrlich zur Erden bestattet worden. Gethan durch Laurentium Scheurlin / der Heiligen Schrifft Professorn / Pastorn vnd General Superintendenten / bey der löblichen Julius Vniuersitet daselbsten. Gedruckt zu Magdeburgk bey Wilhelm Roß / Im Jahr M. D. XCVII.,christliche leichpredigt bey der begreb nuß des edlen gestrengen vnd ehrnvesten jungkern sigmund juliussen mynsingern von frundeck des fürstenthumbs braunschweig erb cammerern etc so auff s galli tag den octobr vor mittag vmb vhr zu grossen alßleben seliglich im herrn entschlaffen vnd folgends den dieses auff simonis vnd iudae in der pfarrkirchen zu helmstedt christlich vnd ehrlich zur erden bestattet worden gethan durch laurentium scheurlin der heiligen schrifft professorn pastorn vnd general superintendenten bey der löblichen julius vniuersitet daselbsten gedruckt zu magdeburgk bey wilhelm roß im jahr m d xcvii,christliche leichpredigt bey der begreb nuss des edlen gestrengen und ehrnuesten iungkern sigmund iuliussen mynsingern uon frundeck des furstenthumbs braunschweig erb cammerern etc so auff s galli tag den octobr uor mittag umb uhr zu grossen alssleben seliglich im herrn entschlaffen und folgends den dieses auff simonis und iudae in der pfarrkirchen zu helmstedt christlich und ehrlich zur erden bestattet worden gethan durch laurentium scheurlin der heiligen schrifft professorn pastorn und general superintendenten bey der loblichen iulius uniuersitet daselbsten gedruckt zu magdeburgk bey wilhelm ross im iahr m d xcuii
scheurl_leichpredigt_1597,body,1,0,False,2,GEliebte im HERRN Christo.,geliebte im herrn christo,geliebte im herrn christo
scheurl_leichpredigt_1597,body,1,1,True,2,Es hat der Allmechtige ewige GOtt / nach seinem Göttlichen Raht / willen vnd wolgefallen / aus diesem Jammerthal in den Himlischen Frewdensaal / durch den zeitlichen Todt abgefordert / den Edlen / gestrengen vnd Ehrnvesten Jungkern / Sigmund Juliussen Mynsingern von Frundeck / Erb Cammerern des löblichen Fürstenthums Braunschweig etc. so wir aus Christlicher liebe / biß hieher an diß ort / zum Grab vnd Schlaffkemmerlein das Geleyt gegeben / vnd also die letzte ehre vnd dienst erzeiget vnd bewiesen haben.,es hat der allmechtige ewige gott nach seinem göttlichen raht willen vnd wolgefallen aus diesem jammerthal in den himlischen frewdensaal durch den zeitlichen todt abgefordert den edlen gestrengen vnd ehrnvesten jungkern sigmund juliussen mynsingern von frundeck erb cammerern des löblichen fürstenthums braunschweig etc so wir aus christlicher liebe biß hieher an diß ort zum grab vnd schlaffkemmerlein das geleyt gegeben vnd also die letzte ehre vnd dienst erzeiget vnd bewiesen haben,es hat der allmechtige ewige gott nach seinem gottlichen raht willen und wolgefallen aus diesem iammerthal in den himlischen frewdensaal durch den zeitlichen todt abgefordert den edlen gestrengen und ehrnuesten iungkern sigmund iuliussen mynsingern uon frundeck erb cammerern des loblichen furstenthums braunschweig etc so wir aus christlicher liebe biss hieher an diss ort zum grab und schlaffkemmerlein das geleyt gegeben und also die letzte ehre und dienst erzeiget und bewiesen haben
scheurl_leichpredigt_1597,body,2,0,False,2,Nun wil es sich aber nicht gebüren / daß wir also widerumb von einander scheiden solten / ohne Gottes Wort vnd Trost der Heiligen Schrifft.,nun wil es sich aber nicht gebüren daß wir also widerumb von einander scheiden solten ohne gottes wort vnd trost der heiligen schrifft,nun wil es sich aber nicht geburen dass wir also widerumb uon einander scheiden solten ohne gottes wort und trost der heiligen schrifft
scheurl_leichpredigt_1597,body,2,1,False,2,Dann was S. Paulus an die Colosser am 3. Capittel geschrieben / das ist allen Christen gesagt Wann vnd so offt wir zusammen kommen / das wir GOttes Wort sollen reichlich vnter vns wohnen lassen.,dann was s paulus an die colosser am capittel geschrieben das ist allen christen gesagt wann vnd so offt wir zusammen kommen das wir gottes wort sollen reichlich vnter vns wohnen lassen,dann was s paulus an die colosser am capittel geschrieben das ist allen christen gesagt wann und so offt wir zusammen kommen das wir gottes wort sollen reichlich unter uns wohnen lassen
scheurl_leichpredigt_1597,body,2,2,True,2,Wollen demnach Gott dem Allmechtigen zu lob vnd preiß / diesem verstorbenen Edlen Jungkern zur letze vnd seliger gedechtnus / vns allen aber zu Trost vnd besserunge / aus Gottes Wort einen kurtzen Spruch zu erkleren / fürnemen / vnd zu fruchtbarlicher betrachtung desselben / Gott den Himlischen Vater vmb die Gnad vnd beystand seines Heiligen Geistes anruffen vnd beten / wie Christus Jesus selbst gelehret hat / das heilige Vater vnser.,wollen demnach gott dem allmechtigen zu lob vnd preiß diesem verstorbenen edlen jungkern zur letze vnd seliger gedechtnus vns allen aber zu trost vnd besserunge aus gottes wort einen kurtzen spruch zu erkleren fürnemen vnd zu fruchtbarlicher betrachtung desselben gott den himlischen vater vmb die gnad vnd beystand seines heiligen geistes anruffen vnd beten wie christus jesus selbst gelehret hat das heilige vater vnser,wollen demnach gott dem allmechtigen zu lob und preiss diesem uerstorbenen edlen iungkern zur letze und seliger gedechtnus uns allen aber zu trost und besserunge aus gottes wort einen kurtzen spruch zu erkleren furnemen und zu fruchtbarlicher betrachtung desselben gott den himlischen uater umb die gnad und beystand seines heiligen geistes anruffen und beten wie christus iesus selbst gelehret hat das heilige uater unser
scheurl_leichpredigt_1597,head,3,0,True,4,Also lesen wir im Euangelio S. Johannis am 1. Capittel.,also lesen wir im euangelio s johannis am capittel,also lesen wir im euangelio s iohannis am capittel
scheurl_leichpredigt_1597,body,4,0,True,4,DEs andern tages / siehet Johannes Jesum zu sich kommen vnd spricht: Sihe / das ist Gottes Lamb / welches der Welt Sünde tregt.,des andern tages siehet johannes jesum zu sich kommen vnd spricht sihe das ist gottes lamb welches der welt sünde tregt,des andern tages siehet iohannes iesum zu sich kommen und spricht sihe das ist gottes lamb welches der welt sunde tregt
scheurl_leichpredigt_1597,head,5,0,True,4,Auslegung dieses Spruchs.,auslegung dieses spruchs,auslegung dieses spruchs
scheurl_leichpredigt_1597,body,6,0,True,4,ES schreibet der heilige Apostel Paulus zum Tito am 2. Capit. Es sey erschienen die heilsame gnade GOttes allen Menschen / vnd hernacher im 3. Capit. nennet ers die Freundligkeit vnd Leutseligkeit GOttes / das Gott die Welt also geliebet / daß er seinen eingebornen Sohn gab / auff das alle / die an jn gleuben / nicht verloren werden / sondern das ewige leben haben.,es schreibet der heilige apostel paulus zum tito am capit es sey erschienen die heilsame gnade gottes allen menschen vnd hernacher im capit nennet ers die freundligkeit vnd leutseligkeit gottes das gott die welt also geliebet daß er seinen eingebornen sohn gab auff das alle die an jn gleuben nicht verloren werden sondern das ewige leben haben,es schreibet der heilige apostel paulus zum tito am capit es sey erschienen die heilsame gnade gottes allen menschen und hernacher im capit nennet ers die freundligkeit und leutseligkeit gottes das gott die welt also geliebet dass er seinen eingebornen sohn gab auff das alle die an in gleuben nicht uerloren werden sondern das ewige leben haben
