doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
schirmer_rosengepuesche_1650,head,0,0,True,5,David Schirmers Pöetiſche Roſen Gepüſche. 1650,david schirmers pöetiſche roſen gepüſche,dauid schirmers poetische rosen gepusche
schirmer_rosengepuesche_1650,head,1,0,True,7,David Schirmers Erſtes Roſen-Gepuͤſche. Hall in Sachſen/ Gedruckt bey Melchior Oelſchlegels S. Erben/ im Jahre 1650.,david schirmers erſtes roſengepuͤſche hall in sachſen gedruckt bey melchior oelſchlegels s erben im jahre,dauid schirmers erstes rosengepusche hall in sachsen gedruckt bey melchior oelschlegels s erben im iahre
schirmer_rosengepuesche_1650,head,2,0,False,8,Denen Wol-Edlen/ Deſten/ Ehrenveſten/ Vorachtbaren/ Wolweiſen und Wolgelarten Barthel von Wolfsberg/ ꝛc. Jhrer Hochfuͤrſtl: Durchl: des Herꝛn Pfaltzgrafens und Generalisſimi Geheimen Secretarien/ ꝛc. Herꝛn Chriſtian Brehmen/ Jhrer Churfuͤrſtlichen Durchl: zu Sachſen Geheimen Kammer-Diener/ des Raths/ und Bibliothecarien in Dreßden/ ꝛc. Herꝛn Johann Rudolphen/ wolverordneten Eſtaats-Secretarien in Leipzig/ ꝛc. Herꝛn Heinrich Alberten/ Beyder Rechten Wolbefliſſenen in Nuͤrnberg.,denen woledlen deſten ehrenveſten vorachtbaren wolweiſen und wolgelarten barthel von wolfsberg ꝛc jhrer hochfuͤrſtl durchl des herꝛn pfaltzgrafens und generalisſimi geheimen secretarien ꝛc herꝛn chriſtian brehmen jhrer churfuͤrſtlichen durchl zu sachſen geheimen kammerdiener des raths und bibliothecarien in dreßden ꝛc herꝛn johann rudolphen wolverordneten eſtaatssecretarien in leipzig ꝛc herꝛn heinrich alberten beyder rechten wolbefliſſenen in nuͤrnberg,denen woledlen desten ehrenuesten uorachtbaren wolweisen und wolgelarten barthel uon wolfsberg c ihrer hochfurstl durchl des hern pfaltzgrafens und generalissimi geheimen secretarien c hern christian brehmen ihrer churfurstlichen durchl zu sachsen geheimen kammerdiener des raths und bibliothecarien in dressden c hern iohann rudolphen woluerordneten estaatssecretarien in leipzig c hern heinrich alberten beyder rechten wolbeflissenen in nurnberg
schirmer_rosengepuesche_1650,head,2,1,True,8,Meinen groſſen Goͤnnern/ ꝛc.,meinen groſſen goͤnnern ꝛc,meinen grossen gonnern c
schirmer_rosengepuesche_1650,body,3,0,True,9,Wol-Edler/ Veſter/ Ehrnveſte/ Vorachtbare/ Wolweiſer/ Wolgelarte/ ꝛc.,woledler veſter ehrnveſte vorachtbare wolweiſer wolgelarte ꝛc,woledler uester ehrnueste uorachtbare wolweiser wolgelarte c
schirmer_rosengepuesche_1650,body,4,0,False,9,WEnn wir die Zeiten/ ſo vor uns geweſen ſind/ etwas in Augenſchein nemen ſo befindẽ wir uͤberfluͤſſig/ daß die Poeſie bey den alten Teutſchen nicht allein/ als wie in einem Traume und Nebel/ verborgen gelegen/ ſondern auch wol gegen unſer jetzigen Zeit wie nichts zu ſchaͤtzen geweſen ſey.,wenn wir die zeiten ſo vor uns geweſen ſind etwas in augenſchein nemen ſo befindẽ wir uͤberfluͤſſig daß die poeſie bey den alten teutſchen nicht allein als wie in einem traume und nebel verborgen gelegen ſondern auch wol gegen unſer jetzigen zeit wie nichts zu ſchaͤtzen geweſen ſey,wenn wir die zeiten so uor uns gewesen sind etwas in augenschein nemen so befinden wir uberflussig dass die poesie bey den alten teutschen nicht allein als wie in einem traume und nebel uerborgen gelegen sondern auch wol gegen unser ietzigen zeit wie nichts zu schatzen gewesen sey
schirmer_rosengepuesche_1650,body,4,1,False,9,Wir haben zwar jhren Fleis/ den ſie bey ſo groſſen und ſchweren Kriegen nicht ſterben laſſen/ hoͤchlich zu ruͤhmen/ jedoch aber ſcheinen ſie in deme tadelhaftig zu ſeyn/ daß ſie faſt immerdar auf einerley Art und Weiſe geblieben/ wie aus den alten Meiſter-Geſaͤngen zu erſehen/ biß ſie zun Zeiten Carolus des Groſſen herfuͤr gebrochen/ da ſie den Griechen und Roͤmern (welche jhre Poeſie erſt 410 Jahr nach erbauung jrer Stadt/ wie es Cicero außrechnet/ uͤberkommen) nichts bevor gebẽ wollen.,wir haben zwar jhren fleis den ſie bey ſo groſſen und ſchweren kriegen nicht ſterben laſſen hoͤchlich zu ruͤhmen jedoch aber ſcheinen ſie in deme tadelhaftig zu ſeyn daß ſie faſt immerdar auf einerley art und weiſe geblieben wie aus den alten meiſtergeſaͤngen zu erſehen biß ſie zun zeiten carolus des groſſen herfuͤr gebrochen da ſie den griechen und roͤmern welche jhre poeſie erſt jahr nach erbauung jrer stadt wie es cicero außrechnet uͤberkommen nichts bevor gebẽ wollen,wir haben zwar ihren fleis den sie bey so grossen und schweren kriegen nicht sterben lassen hochlich zu ruhmen iedoch aber scheinen sie in deme tadelhaftig zu seyn dass sie fast immerdar auf einerley art und weise geblieben wie aus den alten meistergesangen zu ersehen biss sie zun zeiten carolus des grossen herfur gebrochen da sie den griechen und romern welche ihre poesie erst iahr nach erbauung irer stadt wie es cicero aussrechnet uberkommen nichts beuor geben wollen
schirmer_rosengepuesche_1650,body,4,2,False,9,Und haben ſich nicht nur gemeine Leute unterwunden/ ſolche zu erheben und zu vermehren; ſondern es iſt auch Fuͤrſtlichen und andern hohes Standes Gemuͤhtern belieblich gefallen/ jhre beluſtigung zu ſuchen: Geſtalt denn bey Melchior Goldaſten/ dem Ritter Teutſcher Zierligkeit/ unter andern vieler Fuͤrſten/ Grafen/ Freyherꝛen/ Herꝛen und vornehmer Adlicher Ritter/ ja Kaͤyſer Heinrichs/ und Conrads Roͤmiſchen Koͤnigs Lieder und Gedichte angezogen und geruͤhmet werden.,und haben ſich nicht nur gemeine leute unterwunden ſolche zu erheben und zu vermehren ſondern es iſt auch fuͤrſtlichen und andern hohes standes gemuͤhtern belieblich gefallen jhre beluſtigung zu ſuchen geſtalt denn bey melchior goldaſten dem ritter teutſcher zierligkeit unter andern vieler fuͤrſten grafen freyherꝛen herꝛen und vornehmer adlicher ritter ja kaͤyſer heinrichs und conrads roͤmiſchen koͤnigs lieder und gedichte angezogen und geruͤhmet werden,und haben sich nicht nur gemeine leute unterwunden solche zu erheben und zu uermehren sondern es ist auch furstlichen und andern hohes standes gemuhtern belieblich gefallen ihre belustigung zu suchen gestalt denn bey melchior goldasten dem ritter teutscher zierligkeit unter andern uieler fursten grafen freyheren heren und uornehmer adlicher ritter ia kayser heinrichs und conrads romischen konigs lieder und gedichte angezogen und geruhmet werden
schirmer_rosengepuesche_1650,body,4,3,False,10,Von der Zeit an haben ſich immer je mehr und mehr viel feurige Geiſter gefunden/ welche mit jhren ſcharffen Nachſinnen ſo weit empor geflogen/ daß auch die andern in jhren Mutterſprachen ſie zu ereilen nicht vermoͤcht haben.,von der zeit an haben ſich immer je mehr und mehr viel feurige geiſter gefunden welche mit jhren ſcharffen nachſinnen ſo weit empor geflogen daß auch die andern in jhren mutterſprachen ſie zu ereilen nicht vermoͤcht haben,uon der zeit an haben sich immer ie mehr und mehr uiel feurige geister gefunden welche mit ihren scharffen nachsinnen so weit empor geflogen dass auch die andern in ihren muttersprachen sie zu ereilen nicht uermocht haben
schirmer_rosengepuesche_1650,body,4,4,False,10,Wie ſchwer uns Teutſchen anfangs die Zunge geweſen/ ſo leicht iſt ſie uns nun worden/ daß wir nicht allein denen alten Roͤmiſchen/ ſondern auch andern Außlaͤndiſchen Dichtern/ mit hoͤchſt-anmuhtiger fertigkeit nachreden/ ſondern auch mit jhrer reinen und unverfaͤlſchten Zierde umſetzen koͤnnen.,wie ſchwer uns teutſchen anfangs die zunge geweſen ſo leicht iſt ſie uns nun worden daß wir nicht allein denen alten roͤmiſchen ſondern auch andern außlaͤndiſchen dichtern mit hoͤchſtanmuhtiger fertigkeit nachreden ſondern auch mit jhrer reinen und unverfaͤlſchten zierde umſetzen koͤnnen,wie schwer uns teutschen anfangs die zunge gewesen so leicht ist sie uns nun worden dass wir nicht allein denen alten romischen sondern auch andern ausslandischen dichtern mit hochstanmuhtiger fertigkeit nachreden sondern auch mit ihrer reinen und unuerfalschten zierde umsetzen konnen
