doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
hesshus_bekendtnus_1578,head,0,0,True,1,"Doctoris Tilemani Heshusij Bekandtnus Von der Formula Concordiae, Wieder das Gottlos und lesterlich gedicht des falschen Brieffs. Psalm. 64. Sie sind küne mit ihren bösen anschlegen / und sagen / Wie sie Stricke legen wollen/ und sprechen/ Wer kan sie sehen? Sie errichten Schalkheit/ und haltens heimlich/ sind verschlagen / und haben geschwinde renke/ Aber Gott wird sie plötzlich schiessen / das inen wehe thun wird / Ihr eigen Zunge wird sie fellen/ das ihr spotten wird/ wer sie sihet etc. Heinrichstadt Gedruckt durch Cunrad Horn. 1578",doctoris tilemani heshusij bekandtnus von der formula concordiae wieder das gottlos und lesterlich gedicht des falschen brieffs psalm sie sind küne mit ihren bösen anschlegen und sagen wie sie stricke legen wollen und sprechen wer kan sie sehen sie errichten schalkheit und haltens heimlich sind verschlagen und haben geschwinde renke aber gott wird sie plötzlich schiessen das inen wehe thun wird ihr eigen zunge wird sie fellen das ihr spotten wird wer sie sihet etc heinrichstadt gedruckt durch cunrad horn,doctoris tilemani heshusii bekandtnus uon der formula concordiae wieder das gottlos und lesterlich gedicht des falschen brieffs psalm sie sind kune mit ihren bosen anschlegen und sagen wie sie stricke legen wollen und sprechen wer kan sie sehen sie errichten schalkheit und haltens heimlich sind uerschlagen und haben geschwinde renke aber gott wird sie plotzlich schiessen das inen wehe thun wird ihr eigen zunge wird sie fellen das ihr spotten wird wer sie sihet etc heinrichstadt gedruckt durch cunrad horn
hesshus_bekendtnus_1578,head,1,0,True,3,Dem Ehrwirdigen Herrn Petern / Abten des Keiserlichen Freyen Stiffts Berga vor Magdeburg / meinem günstigen Herrn vnd guten Freunde.,dem ehrwirdigen herrn petern abten des keiserlichen freyen stiffts berga vor magdeburg meinem günstigen herrn vnd guten freunde,dem ehrwirdigen herrn petern abten des keiserlichen freyen stiffts berga uor magdeburg meinem gunstigen herrn und guten freunde
hesshus_bekendtnus_1578,head,2,0,True,3,Gottes gnad vnd Fried durch Jesum Christum seinen Eingebornen Son / vnsern Heiland / vnd einigen Seligmacher zuuorn /,gottes gnad vnd fried durch jesum christum seinen eingebornen son vnsern heiland vnd einigen seligmacher zuuorn,gottes gnad und fried durch iesum christum seinen eingebornen son unsern heiland und einigen seligmacher zuuorn
hesshus_bekendtnus_1578,body,3,0,False,3,EHrwirdiger Herr Abt / als E. Erw. newlicher zeit mich in meiner schwacheit besuchten / vnd mir das erticht / Gottlos / vnd lesterlich schreiben / so vnter meinem namen wider Doctor Jacobum Andreae / vnd sonderlich wider die Formulam Concordiae / den Chur: vnd Fürstlichen Heusern / Sachsen etc.,ehrwirdiger herr abt als e erw newlicher zeit mich in meiner schwacheit besuchten vnd mir das erticht gottlos vnd lesterlich schreiben so vnter meinem namen wider doctor jacobum andreae vnd sonderlich wider die formulam concordiae den chur vnd fürstlichen heusern sachsen etc,ehrwirdiger herr abt als e erw newlicher zeit mich in meiner schwacheit besuchten und mir das erticht gottlos und lesterlich schreiben so unter meinem namen wider doctor iacobum andreae und sonderlich wider die formulam concordiae den chur und furstlichen heusern sachsen etc
hesshus_bekendtnus_1578,body,3,1,False,3,Brandenburg etc. vnd Braunschweig etc. zu ehrenrürigem schimpff gesprenget wird / zu lesen gaben / mit gantz fleissiger vnd embsiger bitte / da das schreiben von mir nicht her keme / wie es E. Erw. dafür hielten / so wolte ich solchs mit zweyen oder dreyen wortẽ bezeugen / ermannete ich mich souiel in meiner schwacheit / das ich mit eigener Hand bezeugete / mir were niemals in den sinn kommen / solche Gottlose / Vnchristliche lesterliche Schrifft wider die Formulam Concordiae zuschreiben / vnd thete meine kurtze bekantnus von der Formula Concordiae / Wie dann auch der Durchleuchtiger / Hochgeborner Fürst vnd Herr / Herr Julius / Hertzog zu Braunschweig vñ Lüneburg etc. mein gnediger Fürst vnd Herr / als S. F. G. dessen von E. Er. berichtet worden / sich darauff gleich alsbald aus dem steigreiffone einiges hinderdencken erkleret / vnd solchs auch an die Churfürsten zu Sachsen etc. vnd Brandenburg etc. meine gnedigste Herrn / hat gelangen lassen / welchs E. Er. mit hertzlicher dancksagung auffnamen.,brandenburg etc vnd braunschweig etc zu ehrenrürigem schimpff gesprenget wird zu lesen gaben mit gantz fleissiger vnd embsiger bitte da das schreiben von mir nicht her keme wie es e erw dafür hielten so wolte ich solchs mit zweyen oder dreyen wortẽ bezeugen ermannete ich mich souiel in meiner schwacheit das ich mit eigener hand bezeugete mir were niemals in den sinn kommen solche gottlose vnchristliche lesterliche schrifft wider die formulam concordiae zuschreiben vnd thete meine kurtze bekantnus von der formula concordiae wie dann auch der durchleuchtiger hochgeborner fürst vnd herr herr julius hertzog zu braunschweig vñ lüneburg etc mein gnediger fürst vnd herr als s f g dessen von e er berichtet worden sich darauff gleich alsbald aus dem steigreiffone einiges hinderdencken erkleret vnd solchs auch an die churfürsten zu sachsen etc vnd brandenburg etc meine gnedigste herrn hat gelangen lassen welchs e er mit hertzlicher dancksagung auffnamen,brandenburg etc und braunschweig etc zu ehrenrurigem schimpff gesprenget wird zu lesen gaben mit gantz fleissiger und embsiger bitte da das schreiben uon mir nicht her keme wie es e erw dafur hielten so wolte ich solchs mit zweyen oder dreyen worten bezeugen ermannete ich mich souiel in meiner schwacheit das ich mit eigener hand bezeugete mir were niemals in den sinn kommen solche gottlose unchristliche lesterliche schrifft wider die formulam concordiae zuschreiben und thete meine kurtze bekantnus uon der formula concordiae wie dann auch der durchleuchtiger hochgeborner furst und herr herr iulius hertzog zu braunschweig und luneburg etc mein gnediger furst und herr als s f g dessen uon e er berichtet worden sich darauff gleich alsbald aus dem steigreiffone einiges hinderdencken erkleret und solchs auch an die churfursten zu sachsen etc und brandenburg etc meine gnedigste herrn hat gelangen lassen welchs e er mit hertzlicher dancksagung auffnamen
hesshus_bekendtnus_1578,body,3,2,False,4,Ich stelle es auch in keinen zweiffel / E. Erw. werden solch mein bekantnus nicht bey sich verborgen gehalten / sondern vielen Gottseligen vom Adel / vnd wer es sonsten begeret hat / mit getheilet / vnd weit haben kommen lassen / Wie mir dann fürkümpt / das viel guter Gottseliger leute / die durch die Lesterschrifft waren jrre gemacht / wieder zu recht seind gebracht worden.,ich stelle es auch in keinen zweiffel e erw werden solch mein bekantnus nicht bey sich verborgen gehalten sondern vielen gottseligen vom adel vnd wer es sonsten begeret hat mit getheilet vnd weit haben kommen lassen wie mir dann fürkümpt das viel guter gottseliger leute die durch die lesterschrifft waren jrre gemacht wieder zu recht seind gebracht worden,ich stelle es auch in keinen zweiffel e erw werden solch mein bekantnus nicht bey sich uerborgen gehalten sondern uielen gottseligen uom adel und wer es sonsten begeret hat mit getheilet und weit haben kommen lassen wie mir dann furkumpt das uiel guter gottseliger leute die durch die lesterschrifft waren irre gemacht wieder zu recht seind gebracht worden
hesshus_bekendtnus_1578,body,3,3,False,5,Nu werde ich gleichwol von vielen noch ersucht / ob ich einige wissenschafft vmb die Gottlose schrifft habe / vnd ob ich der Formulae Concordiae also zuwider / Daraus ich leicht abnemen kan / das die heimliche falsche tücke des ertichten / vnd weit durch gantz Deutschlandt gesprengten Brieffs / durch meine kurtze bekantnus / weil es nicht in offnem Druck ist / noch nicht sein gedempfft / welches dann auch nicht wunder / Denn die Kinder dieser Welt seind klüger vnd listiger / treiben auch jr thund viel hefftiger / denn die Kinder des Liechtes / Die Welt hat mehr lust zun lügen / denn zur warheit / darumb gleubet sie den lügen bald / vnd sprenget sie aus mit grosser geschwindigkeit.,nu werde ich gleichwol von vielen noch ersucht ob ich einige wissenschafft vmb die gottlose schrifft habe vnd ob ich der formulae concordiae also zuwider daraus ich leicht abnemen kan das die heimliche falsche tücke des ertichten vnd weit durch gantz deutschlandt gesprengten brieffs durch meine kurtze bekantnus weil es nicht in offnem druck ist noch nicht sein gedempfft welches dann auch nicht wunder denn die kinder dieser welt seind klüger vnd listiger treiben auch jr thund viel hefftiger denn die kinder des liechtes die welt hat mehr lust zun lügen denn zur warheit darumb gleubet sie den lügen bald vnd sprenget sie aus mit grosser geschwindigkeit,nu werde ich gleichwol uon uielen noch ersucht ob ich einige wissenschafft umb die gottlose schrifft habe und ob ich der formulae concordiae also zuwider daraus ich leicht abnemen kan das die heimliche falsche tucke des ertichten und weit durch gantz deutschlandt gesprengten brieffs durch meine kurtze bekantnus weil es nicht in offnem druck ist noch nicht sein gedempfft welches dann auch nicht wunder denn die kinder dieser welt seind kluger und listiger treiben auch ir thund uiel hefftiger denn die kinder des liechtes die welt hat mehr lust zun lugen denn zur warheit darumb gleubet sie den lugen bald und sprenget sie aus mit grosser geschwindigkeit
hesshus_bekendtnus_1578,body,3,4,False,5,Damit ich denu souiel Gottselige / frome vnd einfeltige Christen / so durch das falsch betrieglich vnd Vnchristlich schreiben jrre gemacht seind worden / in der furcht vnd argwohn / als were etwas geferliches vnd Vnchristliches in der Formula Concordiae / nicht stecken / auff mir auch die gantz beschwerliche Calumnien nicht beruhen lasse / gleichsam / als hette ich in allen meinen certaminibus ichts anders / denn die heilsame / reine / gesunde Lere / die in der Formula Concordiae herrlich vnd ausführlich erkleret vnd dargethan wird / gesucht / habe ichs für eine hohe notturfft erachtet / meine bekanntnus von der vorgedachten / Gottlosen ertichten schrifft etwas ausführlicher darzu thun / vnd in offenen Druck der gantzen Christenheit vorzulegen / damit doch die leidigen feindselige tücke vnd Practicken / damit die Rottengeister jhre böse sache wollen stutzen / für aller Welt zu schanden möchten werden / Auch das ich / souiel an mir ist / das heilsame / hochnötige / Christliche werck der einigkeit / nicht allein mit meinem Gebet zu Gott / sondern auch mit meinem Consensu / vermanung vnd anhalten helffe befürdern / wie ein jeder Christ / vermöge seines Beruffs / vnd souiel jme müglich ist / die einigkeit in der Christenheit zubefürdern / den Corruptelen vnd spaltungen aber zuwehren / für Gott schüldig ist.,damit ich denu souiel gottselige frome vnd einfeltige christen so durch das falsch betrieglich vnd vnchristlich schreiben jrre gemacht seind worden in der furcht vnd argwohn als were etwas geferliches vnd vnchristliches in der formula concordiae nicht stecken auff mir auch die gantz beschwerliche calumnien nicht beruhen lasse gleichsam als hette ich in allen meinen certaminibus ichts anders denn die heilsame reine gesunde lere die in der formula concordiae herrlich vnd ausführlich erkleret vnd dargethan wird gesucht habe ichs für eine hohe notturfft erachtet meine bekanntnus von der vorgedachten gottlosen ertichten schrifft etwas ausführlicher darzu thun vnd in offenen druck der gantzen christenheit vorzulegen damit doch die leidigen feindselige tücke vnd practicken damit die rottengeister jhre böse sache wollen stutzen für aller welt zu schanden möchten werden auch das ich souiel an mir ist das heilsame hochnötige christliche werck der einigkeit nicht allein mit meinem gebet zu gott sondern auch mit meinem consensu vermanung vnd anhalten helffe befürdern wie ein jeder christ vermöge seines beruffs vnd souiel jme müglich ist die einigkeit in der christenheit zubefürdern den corruptelen vnd spaltungen aber zuwehren für gott schüldig ist,damit ich denu souiel gottselige frome und einfeltige christen so durch das falsch betrieglich und unchristlich schreiben irre gemacht seind worden in der furcht und argwohn als were etwas geferliches und unchristliches in der formula concordiae nicht stecken auff mir auch die gantz beschwerliche calumnien nicht beruhen lasse gleichsam als hette ich in allen meinen certaminibus ichts anders denn die heilsame reine gesunde lere die in der formula concordiae herrlich und ausfuhrlich erkleret und dargethan wird gesucht habe ichs fur eine hohe notturfft erachtet meine bekanntnus uon der uorgedachten gottlosen ertichten schrifft etwas ausfuhrlicher darzu thun und in offenen druck der gantzen christenheit uorzulegen damit doch die leidigen feindselige tucke und practicken damit die rottengeister ihre bose sache wollen stutzen fur aller welt zu schanden mochten werden auch das ich souiel an mir ist das heilsame hochnotige christliche werck der einigkeit nicht allein mit meinem gebet zu gott sondern auch mit meinem consensu uermanung und anhalten helffe befurdern wie ein ieder christ uermoge seines beruffs und souiel ime muglich ist die einigkeit in der christenheit zubefurdern den corruptelen und spaltungen aber zuwehren fur gott schuldig ist
hesshus_bekendtnus_1578,body,3,5,True,6,"E. Erw. ist sonderlich wol bekandt / wie es denn auch durch gantz Deudschland erschollen / vnd zwar den Papisten vnd Caluinisten vnuerborgen bleibet / mit was hohem ernsten / Christlichen / vnd bestendigen eiffer vor hoch gedachter mein gnediger Fürst vnd Herr / Hertzog Julius zu Braunschweig vnd Lüneburg etc. sich dieses heilsamen vnd hochnötigen wercks / das wahre / Christliche vnd bestendige einigkeit / mit fortpflantzung reiner vnuerfelschter Lere des Euangelij / vnd abschaffung aller eingerissenen Corruptelen / möge auffgerichtet werden / annimmet / solchs mit höhestem fleis befürdert / grosse vnd schwere vnkosten / dauon J. F. G. keinen andern nutz hoffen noch wünschen / denn das die hochbetrübte Christenheit in einen richtigen standt gesetzt / vnd auff die liebe Posteritet reine / gesunde / vnuerfelschte Lere des Euangelij geerbet werde / anwenden / vnd keine mühe noch arbeit hieran sparen / sondern wie einem Gottseligen Nutricio Ecclesiae, vnd eisserigem löblichen Fürsten in der Christenheit gebüret / zum höchsten jr lassen angelegen sein / vnd ohn auffhören bey andern Chur: vnd Fürsten vmb fortsetzung dieses wercks anhalten.",e erw ist sonderlich wol bekandt wie es denn auch durch gantz deudschland erschollen vnd zwar den papisten vnd caluinisten vnuerborgen bleibet mit was hohem ernsten christlichen vnd bestendigen eiffer vor hoch gedachter mein gnediger fürst vnd herr hertzog julius zu braunschweig vnd lüneburg etc sich dieses heilsamen vnd hochnötigen wercks das wahre christliche vnd bestendige einigkeit mit fortpflantzung reiner vnuerfelschter lere des euangelij vnd abschaffung aller eingerissenen corruptelen möge auffgerichtet werden annimmet solchs mit höhestem fleis befürdert grosse vnd schwere vnkosten dauon j f g keinen andern nutz hoffen noch wünschen denn das die hochbetrübte christenheit in einen richtigen standt gesetzt vnd auff die liebe posteritet reine gesunde vnuerfelschte lere des euangelij geerbet werde anwenden vnd keine mühe noch arbeit hieran sparen sondern wie einem gottseligen nutricio ecclesiae vnd eisserigem löblichen fürsten in der christenheit gebüret zum höchsten jr lassen angelegen sein vnd ohn auffhören bey andern chur vnd fürsten vmb fortsetzung dieses wercks anhalten,e erw ist sonderlich wol bekandt wie es denn auch durch gantz deudschland erschollen und zwar den papisten und caluinisten unuerborgen bleibet mit was hohem ernsten christlichen und bestendigen eiffer uor hoch gedachter mein gnediger furst und herr hertzog iulius zu braunschweig und luneburg etc sich dieses heilsamen und hochnotigen wercks das wahre christliche und bestendige einigkeit mit fortpflantzung reiner unuerfelschter lere des euangelii und abschaffung aller eingerissenen corruptelen moge auffgerichtet werden annimmet solchs mit hohestem fleis befurdert grosse und schwere unkosten dauon i f g keinen andern nutz hoffen noch wunschen denn das die hochbetrubte christenheit in einen richtigen standt gesetzt und auff die liebe posteritet reine gesunde unuerfelschte lere des euangelii geerbet werde anwenden und keine muhe noch arbeit hieran sparen sondern wie einem gottseligen nutricio ecclesiae und eisserigem loblichen fursten in der christenheit geburet zum hochsten ir lassen angelegen sein und ohn auffhoren bey andern chur und fursten umb fortsetzung dieses wercks anhalten
hesshus_bekendtnus_1578,body,4,0,False,7,Nun hat aber E. Erw. zuerachten / wie hochermelts meines Gnedigen Fürsten vnd Herren Reputation / Christlicher eiffer / vnd herrlicher rhum / den sie bey frommen Christen habendurch das erdicht meuchlisch vnd Gottlos schreiben geschmelert vnd verringert wird / sintemal es Ire F. G. bey den vnerfahrnen gerne in den verdachtsetzen wolt / als vnterhielten Ire F. G. solche Leute / die sich vngeschewet wieder die Formulam Concordiae setzten / dieselbige lesterten vnd vbel ausmachten / vnd theten das in Schrifften an Ihre F. G. / daher menniglich müste argwohnen / es müste Ihrer F. G. so grosser ernst nicht sein / Hat also der liechtflüchtige Nachtrabe / abtrünniger Apostata / oder Sacramentirischer Caluinist / vnd meuchel Schreiber (jedoch hiemit andere reine auslendische Kirchen Lerer / so nihe von der Warheit abgefallen / nicht gemeint) nicht alleine das heilsame Werck der Concordien turbiren / meine geringe Person in gefahr bringen / Sondern auch höchst vnd hochgedachte Chur: vñ Fürstliche Heuser Sachsen etc.,nun hat aber e erw zuerachten wie hochermelts meines gnedigen fürsten vnd herren reputation christlicher eiffer vnd herrlicher rhum den sie bey frommen christen habendurch das erdicht meuchlisch vnd gottlos schreiben geschmelert vnd verringert wird sintemal es ire f g bey den vnerfahrnen gerne in den verdachtsetzen wolt als vnterhielten ire f g solche leute die sich vngeschewet wieder die formulam concordiae setzten dieselbige lesterten vnd vbel ausmachten vnd theten das in schrifften an ihre f g daher menniglich müste argwohnen es müste ihrer f g so grosser ernst nicht sein hat also der liechtflüchtige nachtrabe abtrünniger apostata oder sacramentirischer caluinist vnd meuchel schreiber jedoch hiemit andere reine auslendische kirchen lerer so nihe von der warheit abgefallen nicht gemeint nicht alleine das heilsame werck der concordien turbiren meine geringe person in gefahr bringen sondern auch höchst vnd hochgedachte chur vñ fürstliche heuser sachsen etc,nun hat aber e erw zuerachten wie hochermelts meines gnedigen fursten und herren reputation christlicher eiffer und herrlicher rhum den sie bey frommen christen habendurch das erdicht meuchlisch und gottlos schreiben geschmelert und uerringert wird sintemal es ire f g bey den unerfahrnen gerne in den uerdachtsetzen wolt als unterhielten ire f g solche leute die sich ungeschewet wieder die formulam concordiae setzten dieselbige lesterten und ubel ausmachten und theten das in schrifften an ihre f g daher menniglich muste argwohnen es muste ihrer f g so grosser ernst nicht sein hat also der liechtfluchtige nachtrabe abtrunniger apostata oder sacramentirischer caluinist und meuchel schreiber iedoch hiemit andere reine auslendische kirchen lerer so nihe uon der warheit abgefallen nicht gemeint nicht alleine das heilsame werck der concordien turbiren meine geringe person in gefahr bringen sondern auch hochst und hochgedachte chur und furstliche heuser sachsen etc
