doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12192,head,0,0,True,,Praefatio,praefatio,praefatio
12192,body,1,0,False,,"Phoebe, salutiferum quod pangimus adsere carmen",phoebe salutiferum quod pangimus adsere carmen,phoebe salutiferum quod pangimus adsere carmen
12192,body,1,1,False,,inuentumque tuum prompto comitare fauore.,inuentumque tuum prompto comitare fauore,inuentumque tuum prompto comitare fauore
12192,body,1,2,False,,"tuque, potens artis, reduces qui tradere uitas",tuque potens artis reduces qui tradere uitas,tuque potens artis reduces qui tradere uitas
12192,body,1,3,False,,"nosti et in caelum manes reuocare sepultos,",nosti et in caelum manes reuocare sepultos,nosti et in caelum manes reuocare sepultos
12192,body,1,4,False,,"qui colis Aegeas, qui Pergama quique Epidaurum,",qui colis aegeas qui pergama quique epidaurum,qui colis aegeas qui pergama quique epidaurum
12192,body,1,5,False,,qui quondam placida tectus sub pelle draconis,qui quondam placida tectus sub pelle draconis,qui quondam placida tectus sub pelle draconis
12192,body,1,6,False,,Tarpeias arces atque inclita templa petisti,tarpeias arces atque inclita templa petisti,tarpeias arces atque inclita templa petisti
12192,body,1,7,False,,depellens taetros praesenti numine morbos:,depellens taetros praesenti numine morbos,depellens taetros praesenti numine morbos
12192,body,1,8,False,,huc ades et quicquid cupido mihi saepe locutus,huc ades et quicquid cupido mihi saepe locutus,huc ades et quicquid cupido mihi saepe locutus
12192,body,1,9,True,,"firmasti, cunctum teneris expone papyris.",firmasti cunctum teneris expone papyris,firmasti cunctum teneris expone papyris
12192,head,2,0,True,,cap. 1: Ad capitis curationem,cap ad capitis curationem,cap ad capitis curationem
12192,body,3,0,False,,"Balsama si geminis instillans auribus addas,",balsama si geminis instillans auribus addas,balsama si geminis instillans auribus addas
12192,body,3,1,False,,tum poteris alacrem capitis reparare uigorem.,tum poteris alacrem capitis reparare uigorem,tum poteris alacrem capitis reparare uigorem
12192,body,3,2,False,,uel quae septenis censentur gramina nodis,uel quae septenis censentur gramina nodis,uel quae septenis censentur gramina nodis
12192,body,3,3,False,,utiliter nectes uel corno ex arbore sertum.,utiliter nectes uel corno ex arbore sertum,utiliter nectes uel corno ex arbore sertum
12192,body,3,4,False,,puleiumue potens una super aure locabis,puleiumue potens una super aure locabis,puleiumue potens una super aure locabis
12192,body,3,5,False,,aut illud mixto coctum clementer aceto,aut illud mixto coctum clementer aceto,aut illud mixto coctum clementer aceto
12192,body,3,6,False,,cauta nare trahes; seu uisco lintea nexo,cauta nare trahes seu uisco lintea nexo,cauta nare trahes seu uisco lintea nexo
12192,body,3,7,False,,induces fronti seu tritae gramina mentae;,induces fronti seu tritae gramina mentae,induces fronti seu tritae gramina mentae
12192,body,3,8,False,,spongia cum tepidis adnexa liquoribus imbris,spongia cum tepidis adnexa liquoribus imbris,spongia cum tepidis adnexa liquoribus imbris
