doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
glauber_furni02_1647,body,0,0,True,,"FURNI PHILOSOPHICI, Oder Philoſophiſcher Oefen/ Ander Theil Darinnen beſchrieben wird des Zweyten Ofens eigenſchafft/ dadurch/ oder damit man alle fluͤchtige ſubtile vnd verbrennliche Dinge diſtilliren kan: Es ſeyen gleich vegetabilia, animalia oder mineralia, auff eine vnbekante weiſe/ ſehr compendioſè; dardurch nichts verlohren wird/ ſondern die aller ſubtiliſte Spiritus damit koͤnnen gefangen vnd erhalten werden/ welches ſonſten/ ohne dieſen Ofen/ durch Retorten oder ander bekante diſtillir-Zeug vnmoͤglich zu thun iſt. Durch JOHANNEM RUDOLPHUM GLAUBERUM. Amſterdam/ Gedruckt bey Johann Fabel. 1647.",furni philosophici oder philoſophiſcher oefen ander theil darinnen beſchrieben wird des zweyten ofens eigenſchafft dadurch oder damit man alle fluͤchtige ſubtile vnd verbrennliche dinge diſtilliren kan es ſeyen gleich vegetabilia animalia oder mineralia auff eine vnbekante weiſe ſehr compendioſè dardurch nichts verlohren wird ſondern die aller ſubtiliſte spiritus damit koͤnnen gefangen vnd erhalten werden welches ſonſten ohne dieſen ofen durch retorten oder ander bekante diſtillirzeug vnmoͤglich zu thun iſt durch johannem rudolphum glauberum amſterdam gedruckt bey johann fabel,furni philosophici oder philosophischer oefen ander theil darinnen beschrieben wird des zweyten ofens eigenschafft dadurch oder damit man alle fluchtige subtile und uerbrennliche dinge distilliren kan es seyen gleich uegetabilia animalia oder mineralia auff eine unbekante weise sehr compendiose dardurch nichts uerlohren wird sondern die aller subtiliste spiritus damit konnen gefangen und erhalten werden welches sonsten ohne diesen ofen durch retorten oder ander bekante distillirzeug unmoglich zu thun ist durch iohannem rudolphum glauberum amsterdam gedruckt bey iohann fabel
glauber_furni02_1647,head,1,0,True,3,Ander Theil Philoſophiſcher Oefen.,ander theil philoſophiſcher oefen,ander theil philosophischer oefen
glauber_furni02_1647,head,2,0,True,3,Von Vorbereitung des Ofens.,von vorbereitung des ofens,uon uorbereitung des ofens
glauber_furni02_1647,body,3,0,False,3,DAs diſtillir - Gefaͤß muß bereitet werden aus Eyſen/ oder guter Erden/ welche in dem Feur halten kan/ wie im 5. Theil dieſes Buchs ſoll gelehret werden.,das diſtillir gefaͤß muß bereitet werden aus eyſen oder guter erden welche in dem feur halten kan wie im theil dieſes buchs ſoll gelehret werden,das distillir gefass muss bereitet werden aus eysen oder guter erden welche in dem feur halten kan wie im theil dieses buchs soll gelehret werden
glauber_furni02_1647,body,3,1,False,3,"Vnd auch ſo groß oder ſo klein als man wil/ nach dem man ſolches vonnoͤthen hat; vnd kan das eyſerne am bequaͤmſten gebraucht werden/ zu ſolchen Spiritibus, welche nicht ſehr ſcharff oder corroſiviſch ſeyn/ dardurch das Gefaͤß zerfreſſen wird: Das erdene kan gebraucht werden zu ſolchen Dingen/ welche das Eyſen angreiffen vnd ſchmeltzen machen/ als Sulphur, Antimonium, vnd dergleichen/ darumb man von ſolchen Gefaͤſſen zwey haben muß/ nemblich ein eyſernes vnd ein erdenes/ auff daß man zu einer jedern arth materialien zu diſtilliren/ ſie ſeyen corroſiviſch oder nicht/ ſeinen behoͤrlichen Ofen hab/ vnd nicht durch widerwertige vnd ſchaͤdliche Dinge verderbt werde.",vnd auch ſo groß oder ſo klein als man wil nach dem man ſolches vonnoͤthen hat vnd kan das eyſerne am bequaͤmſten gebraucht werden zu ſolchen spiritibus welche nicht ſehr ſcharff oder corroſiviſch ſeyn dardurch das gefaͤß zerfreſſen wird das erdene kan gebraucht werden zu ſolchen dingen welche das eyſen angreiffen vnd ſchmeltzen machen als sulphur antimonium vnd dergleichen darumb man von ſolchen gefaͤſſen zwey haben muß nemblich ein eyſernes vnd ein erdenes auff daß man zu einer jedern arth materialien zu diſtilliren ſie ſeyen corroſiviſch oder nicht ſeinen behoͤrlichen ofen hab vnd nicht durch widerwertige vnd ſchaͤdliche dinge verderbt werde,und auch so gross oder so klein als man wil nach dem man solches uonnothen hat und kan das eyserne am bequamsten gebraucht werden zu solchen spiritibus welche nicht sehr scharff oder corrosiuisch seyn dardurch das gefass zerfressen wird das erdene kan gebraucht werden zu solchen dingen welche das eysen angreiffen und schmeltzen machen als sulphur antimonium und dergleichen darumb man uon solchen gefassen zwey haben muss nemblich ein eysernes und ein erdenes auff dass man zu einer iedern arth materialien zu distilliren sie seyen corrosiuisch oder nicht seinen behorlichen ofen hab und nicht durch widerwertige und schadliche dinge uerderbt werde
glauber_furni02_1647,body,3,2,True,3,Vnd iſt das Gefaͤß alſo geſtaltet/ gleich wie beygefuͤgte Figur zeigen wird/ nemblich vnten etwas weiter als oben/ und zweymal ſo hoch als weit/ oben mit einem Faltz darein der Deckel ſchleuſt eines guten Zwerg-fingers tieff; der Deckel muß ein Ohr haben/ welches man mit einer Zangen faſſen/ vnd alſo damit abnehmen vnd wiederumb drauff decken kan/ wan man will vnd muß ein ſolcher Deckel auch ein Zarg haben/ damit er in den Faltz des vntern Theils ſchlieſſe/ der vnter Theil muß 3. Zapffen an der Seiten haben/ damit er auff der Mawren des Ofens ligen kan/ welcher Ofen nicht anderſt als einander gemeiner diſtillier Ofen geſtaltet darinnen das diſtillier-Gefaͤß ligt/ gleich als ein Sand-Capell wie im abriß zu ſehen iſt: will man aber ſolches nicht einmawren/ ſondern nur hinſtellen vnd Kolen darumb legen/ ſo darff es der Zapffen nicht/ ſondern muß zu vnterſt plat ſeyn/ oder Fuͤſſe haben/ auff daß es ſtehen koͤnne: vnd gehet vnter dem Faltz ein Roͤhr herauß einer Spannen lang/ vnd ein oder zwey zwerch-Finger weit/ fornen etwas ſpitziger als hinten dardurch die Spiritus gehen koͤnnen.,vnd iſt das gefaͤß alſo geſtaltet gleich wie beygefuͤgte figur zeigen wird nemblich vnten etwas weiter als oben und zweymal ſo hoch als weit oben mit einem faltz darein der deckel ſchleuſt eines guten zwergfingers tieff der deckel muß ein ohr haben welches man mit einer zangen faſſen vnd alſo damit abnehmen vnd wiederumb drauff decken kan wan man will vnd muß ein ſolcher deckel auch ein zarg haben damit er in den faltz des vntern theils ſchlieſſe der vnter theil muß zapffen an der seiten haben damit er auff der mawren des ofens ligen kan welcher ofen nicht anderſt als einander gemeiner diſtillier ofen geſtaltet darinnen das diſtilliergefaͤß ligt gleich als ein sandcapell wie im abriß zu ſehen iſt will man aber ſolches nicht einmawren ſondern nur hinſtellen vnd kolen darumb legen ſo darff es der zapffen nicht ſondern muß zu vnterſt plat ſeyn oder fuͤſſe haben auff daß es ſtehen koͤnne vnd gehet vnter dem faltz ein roͤhr herauß einer spannen lang vnd ein oder zwey zwerchfinger weit fornen etwas ſpitziger als hinten dardurch die spiritus gehen koͤnnen,und ist das gefass also gestaltet gleich wie beygefugte figur zeigen wird nemblich unten etwas weiter als oben und zweymal so hoch als weit oben mit einem faltz darein der deckel schleust eines guten zwergfingers tieff der deckel muss ein ohr haben welches man mit einer zangen fassen und also damit abnehmen und wiederumb drauff decken kan wan man will und muss ein solcher deckel auch ein zarg haben damit er in den faltz des untern theils schliesse der unter theil muss zapffen an der seiten haben damit er auff der mawren des ofens ligen kan welcher ofen nicht anderst als einander gemeiner distillier ofen gestaltet darinnen das distilliergefass ligt gleich als ein sandcapell wie im abriss zu sehen ist will man aber solches nicht einmawren sondern nur hinstellen und kolen darumb legen so darff es der zapffen nicht sondern muss zu unterst plat seyn oder fusse haben auff dass es stehen konne und gehet unter dem faltz ein rohr herauss einer spannen lang und ein oder zwey zwerchfinger weit fornen etwas spitziger als hinten dardurch die spiritus gehen konnen
glauber_furni02_1647,head,4,0,True,4,Modus diſtillandi.,modus diſtillandi,modus distillandi
glauber_furni02_1647,body,5,0,False,4,"WAnn man nun diſtilliren will/ ſo macht man Feur in den Ofen/ auff daß das diſtillier Geſchirꝛ woͤll heiß werde; Jſt es aber nicht eingemawret/ ſo ſetzt man ſolches auff einen Roſt/ vnd leget Stein darumb/ dan Kohlen dar zwiſchen/ vnd laͤßt es warm werden vnd leget gefloſſen Bley in den Faltz/ auff daß/ wann der Deckel darauff wird geſetzt/ er darein dicht ſchlieſſe/ vnd keine Spiritus darneben außgehen koͤnnen: wann ſolches geſchehen/ ſo traͤgt man von der Materi, welche man diſtilliren will/ ein wenig auff einmal hinein/ ſetzt den Deckel drauff/ ſo iſt anderſt kein Außgang als durch die Roͤhren/ an welcher ein groſſer Recipient muß lutiret ſeyn.",wann man nun diſtilliren will ſo macht man feur in den ofen auff daß das diſtillier geſchirꝛ woͤll heiß werde jſt es aber nicht eingemawret ſo ſetzt man ſolches auff einen roſt vnd leget stein darumb dan kohlen dar zwiſchen vnd laͤßt es warm werden vnd leget gefloſſen bley in den faltz auff daß wann der deckel darauff wird geſetzt er darein dicht ſchlieſſe vnd keine spiritus darneben außgehen koͤnnen wann ſolches geſchehen ſo traͤgt man von der materi welche man diſtilliren will ein wenig auff einmal hinein ſetzt den deckel drauff ſo iſt anderſt kein außgang als durch die roͤhren an welcher ein groſſer recipient muß lutiret ſeyn,wann man nun distilliren will so macht man feur in den ofen auff dass das distillier geschir woll heiss werde ist es aber nicht eingemawret so setzt man solches auff einen rost und leget stein darumb dan kohlen dar zwischen und lasst es warm werden und leget geflossen bley in den faltz auff dass wann der deckel darauff wird gesetzt er darein dicht schliesse und keine spiritus darneben aussgehen konnen wann solches geschehen so tragt man uon der materi welche man distilliren will ein wenig auff einmal hinein setzt den deckel drauff so ist anderst kein aussgang als durch die rohren an welcher ein grosser recipient muss lutiret seyn
glauber_furni02_1647,body,5,1,False,4,So nun die eingetragene ſpecies warm werden/ laſſen ſie jhren Spiritum von ſich/ welcher dann in den vorgelegten Recipienten gehet; vnd weiln der eingetragenen Materi wenig geweſen/ ſo hat ſie keinen Gewalt durch das Lutum zu dringen/ oder den Recipienten zu zerſprengen/ ſondern muß ſich alſo ſetzen.,so nun die eingetragene ſpecies warm werden laſſen ſie jhren spiritum von ſich welcher dann in den vorgelegten recipienten gehet vnd weiln der eingetragenen materi wenig geweſen ſo hat ſie keinen gewalt durch das lutum zu dringen oder den recipienten zu zerſprengen ſondern muß ſich alſo ſetzen,so nun die eingetragene species warm werden lassen sie ihren spiritum uon sich welcher dann in den uorgelegten recipienten gehet und weiln der eingetragenen materi wenig gewesen so hat sie keinen gewalt durch das lutum zu dringen oder den recipienten zu zersprengen sondern muss sich also setzen
glauber_furni02_1647,body,5,2,True,5,"Wann ſolches geſchehen/ ſo trag wiederumb ein wenig von deiner Materi hinein/ decke wieder zu vnd laß alſo gehen/ biß ſich die Spiritus geſetzt haben: ſolches continuire mit eintragen/ ſo lang/ biß du Spiritus genug haſt: Aber ſiehe zu/ daß du nicht mehr auff einmal eintraͤgſt/ als der Recipient vertragen koͤnne/ ſonſt wuͤrde er zerbrechen: Vnd wann dein Gefaͤß voll iſt/ von der eingetragenen Materi, vnd mehr Spiritus haben wilt/ ſo hebe den Deckel ab/ nim das Caput mortuum mit einem eyſernen Loͤffel herauß/ vnd fang wiederumb an einzutragen/ allezeit nur ein wenig auff einmal/ vnd ſolches thue ſo lang du wilt.",wann ſolches geſchehen ſo trag wiederumb ein wenig von deiner materi hinein decke wieder zu vnd laß alſo gehen biß ſich die spiritus geſetzt haben ſolches continuire mit eintragen ſo lang biß du spiritus genug haſt aber ſiehe zu daß du nicht mehr auff einmal eintraͤgſt als der recipient vertragen koͤnne ſonſt wuͤrde er zerbrechen vnd wann dein gefaͤß voll iſt von der eingetragenen materi vnd mehr spiritus haben wilt ſo hebe den deckel ab nim das caput mortuum mit einem eyſernen loͤffel herauß vnd fang wiederumb an einzutragen allezeit nur ein wenig auff einmal vnd ſolches thue ſo lang du wilt,wann solches geschehen so trag wiederumb ein wenig uon deiner materi hinein decke wieder zu und lass also gehen biss sich die spiritus gesetzt haben solches continuire mit eintragen so lang biss du spiritus genug hast aber siehe zu dass du nicht mehr auff einmal eintragst als der recipient uertragen konne sonst wurde er zerbrechen und wann dein gefass uoll ist uon der eingetragenen materi und mehr spiritus haben wilt so hebe den deckel ab nim das caput mortuum mit einem eysernen loffel herauss und fang wiederumb an einzutragen allezeit nur ein wenig auff einmal und solches thue so lang du wilt
