doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524586,head,0,0,True,[1],Eine Chriſtliche Leichpredigt. Von Todteswunſch/ aus dem Nachdencklichen Sterbſpruͤchlein des weiſen Mannes Syrach/ Cap. 41. O Todt/ wiewol thuſtu dem/ der duͤrfftig/ ſchwach vnd alt iſt/ der in allen Sorgen ſtecket/ vnd nichts beſſers zu hoffen noch zugewarten hat. Bey dem Begraͤbniß der Edlen/ Ehrntugentſamen Frawen/ HIPPOLYTÆ von Erichsleben. Des Geſtrengen/ Edlen/ Ehrnveſten/ Hanſen von Falckenredern: Vielgeliebte Haußfrawen. Welche den 8. Novembris zwiſchen 9. vnd 10. Vhr vor Mitternacht dieſes lauffenden 1614. Jahrs im HErrn ſelig entſchlaffen/ vnd folgendes den 16. dieſen Monats/ in die Brixkirche/ beym Schloß zu Beltzigk/ in jhr Ruhbetlein beygeleget/ vnd alſo mit Chriſtlichen Ceremonien zur Erden beſtattet worden. Gehalten vnd zum Abdruck verfertiget. Allen ſterbſuͤchtigen vnd Todtbegirigen Chriſten Menſchen/ zur Lehr/ Troſt/ vnd Vermanung/ Durch M. MICHAELEM MULINGIUM Pfarrern vnd Superintenden zu Beltzigk. Wittenberg/ Jn vorlegung Paul Hellwigs/ Jm Jahr 1615.,eine chriſtliche leichpredigt von todteswunſch aus dem nachdencklichen sterbſpruͤchlein des weiſen mannes syrach cap o todt wiewol thuſtu dem der duͤrfftig ſchwach vnd alt iſt der in allen sorgen ſtecket vnd nichts beſſers zu hoffen noch zugewarten hat bey dem begraͤbniß der edlen ehrntugentſamen frawen hippolytæ von erichsleben des geſtrengen edlen ehrnveſten hanſen von falckenredern vielgeliebte haußfrawen welche den novembris zwiſchen vnd vhr vor mitternacht dieſes lauffenden jahrs im herrn ſelig entſchlaffen vnd folgendes den dieſen monats in die brixkirche beym schloß zu beltzigk in jhr ruhbetlein beygeleget vnd alſo mit chriſtlichen ceremonien zur erden beſtattet worden gehalten vnd zum abdruck verfertiget allen ſterbſuͤchtigen vnd todtbegirigen chriſten menſchen zur lehr troſt vnd vermanung durch m michaelem mulingium pfarrern vnd superintenden zu beltzigk wittenberg jn vorlegung paul hellwigs jm jahr,eine christliche leichpredigt uon todteswunsch aus dem nachdencklichen sterbspruchlein des weisen mannes syrach cap o todt wiewol thustu dem der durfftig schwach und alt ist der in allen sorgen stecket und nichts bessers zu hoffen noch zugewarten hat bey dem begrabniss der edlen ehrntugentsamen frawen hippolytae uon erichsleben des gestrengen edlen ehrnuesten hansen uon falckenredern uielgeliebte haussfrawen welche den nouembris zwischen und uhr uor mitternacht dieses lauffenden iahrs im herrn selig entschlaffen und folgendes den diesen monats in die brixkirche beym schloss zu beltzigk in ihr ruhbetlein beygeleget und also mit christlichen ceremonien zur erden bestattet worden gehalten und zum abdruck uerfertiget allen sterbsuchtigen und todtbegirigen christen menschen zur lehr trost und uermanung durch m michaelem mulingium pfarrern und superintenden zu beltzigk wittenberg in uorlegung paul hellwigs im iahr
524586,body,1,0,True,[3],Dem Geſtrengen/ Edlen/ vnd Ehrnveſten Hanſen von Falckenreder/ Erbſaſſen im Sandberg vor Beltzigk nachgelaſſenen betruͤbten Widwer: Wie auch/ Dem Edlen/ Geſtrengen/ vnd Ehrnveſten Euſtachio von Erichsleben/ Erbſaſſen vff Niebeln vnd Selbelang: Vnd dann Der Edlen/ ehrn vnnd vieltugentreichen Frawen Annæ von Erichsleben/ des weyland auch Geſtrengen Edlen vnd Ehrnveſten Buſſo Schilde/ ſeligen/ nachgelaſſener Widwen: Seinen guͤnſtigen Junckern vnd Frawen: Wunſchet Gnad/ Troſt/ Fried/ zeitlichen vnd ewigen Segen/ beneben einem gluͤckſeligen/ friedt vnd frewdenreichen newen Jahre/ von Gott der heiligen hochgelobten Dreyfaltigkeit.,dem geſtrengen edlen vnd ehrnveſten hanſen von falckenreder erbſaſſen im sandberg vor beltzigk nachgelaſſenen betruͤbten widwer wie auch dem edlen geſtrengen vnd ehrnveſten euſtachio von erichsleben erbſaſſen vff niebeln vnd selbelang vnd dann der edlen ehrn vnnd vieltugentreichen frawen annæ von erichsleben des weyland auch geſtrengen edlen vnd ehrnveſten buſſo schilde ſeligen nachgelaſſener widwen seinen guͤnſtigen junckern vnd frawen wunſchet gnad troſt fried zeitlichen vnd ewigen segen beneben einem gluͤckſeligen friedt vnd frewdenreichen newen jahre von gott der heiligen hochgelobten dreyfaltigkeit,dem gestrengen edlen und ehrnuesten hansen uon falckenreder erbsassen im sandberg uor beltzigk nachgelassenen betrubten widwer wie auch dem edlen gestrengen und ehrnuesten eustachio uon erichsleben erbsassen uff niebeln und selbelang und dann der edlen ehrn unnd uieltugentreichen frawen annae uon erichsleben des weyland auch gestrengen edlen und ehrnuesten busso schilde seligen nachgelassener widwen seinen gunstigen iunckern und frawen wunschet gnad trost fried zeitlichen und ewigen segen beneben einem gluckseligen friedt und frewdenreichen newen iahre uon gott der heiligen hochgelobten dreyfaltigkeit
524586,body,2,0,False,[4],"GEſtrenge/ Edle/ Ehrnveſte Junckern/ dnnd Ehrntugentſame Fraw: Nach dem dieſe Leichpredigt beydes einen Chriſtlichen Bericht von der hertzlichen Sehnſucht nach einem ſeligen ſterbſtuͤndlein/ vnd darnach/ den gottſeligen Wandel der weyland Edlen vnd Ehrntugentſamen Frawen Hippolytæ Ewer vielgeliebten Ehgemahln/ vnd leiblicher Schweſtern/ ſummariſcher weiſe in ſich begreiffet: Jhr aber/ Juncker Hans von Falckenreder/ der Chriſtlichen Leichproceßion Ewer geliebten Haußfrawen/ in der Perſon zu folgen/ vnd beneben andern Adelichen vnd Buͤrgerlichen Leidtragenden/ beyzuwohnen/ durch vnverſehener Leibsſchwachheit als dann zu ruͤck gehalten vnd verhindert worden; Dannenhero jhr ſelbſt begehr et vnd durch andern bitten laſſen/ das ſolcht Leichsſermon, durch den Abdruck Euch zu leſen vberreichet werden moͤchte: Zumal weil auch jhr ewer ſehnliches verlangen/ der vorhin geſchickten Ehfrawen/ durch ſeliges Abſterben/ bald/ bald nachzufolgen/ ſo wol mit deutlichen Worten/ als durch die vorlangſt anhero verſchafften Leichſteinen/ vnd auserſehene Grabſtaͤdte in der Brix Kirche allhier/ von Euch vnd am tage gegeben: Habe ich demnach Gott zu ewigen Ehren: E. G. vnd T. als nachgelaſſenen Eheman/ vnnd leiblichen Bruͤdern vnnd Schweſtern zu ſonderbaren gefallen/ der numehro im GOtt ruhenden Frawen Hippolytæ von Erichsleben/ zum ruhmſeligen Zeugniß jhres Ehrnreiches wolgefuͤhrten Chriſtenthumbs vnnd friedlichen Abſchieds: Auch wol andern frommen Sterbſuͤchtigen Mit Chriſten zum einfeltigen Bericht/ dieſe durch des guten Geiſtes eingeben/ gehaltene Leichpredigt/ zum Abdruck vmbſchreiben/ vnd E. G. vnd T. alten loͤblichen Gebrauch nach/ zur Anzeigung Chriſtlicher affection vnd freundlichen Dienſten/ nunaupirn vnd zuſchreiben wollen vnd ſollen/ der zu vorleſſigen Hoffnung/ E. G. vnd T. werden ſolche auffgewandte Amptarbeit vnnd Dedication im beſten vormercken vnd annehmen: Helffe der himliſche Vater/ daß das edle Kraͤutlin/ die Sehnſucht ſelig zu ſterben/ in vnſer aller Hertzgaͤrtlein durchs Wort Gottes vnd heilige Sacramenten/ in kraͤfftiger Wirckung des werthen heiligen Geiſtes gepflantzt/ vnnd von tag zu tag ſtaͤrcker werde/ durch Jeſum Chriſtum hochgelobet in Ewigkeit Amen: Thue E. G. vnd T. goͤttlicher Vorſorg zum trewlichſten befehlen.",geſtrenge edle ehrnveſte junckern dnnd ehrntugentſame fraw nach dem dieſe leichpredigt beydes einen chriſtlichen bericht von der hertzlichen sehnſucht nach einem ſeligen ſterbſtuͤndlein vnd darnach den gottſeligen wandel der weyland edlen vnd ehrntugentſamen frawen hippolytæ ewer vielgeliebten ehgemahln vnd leiblicher schweſtern ſummariſcher weiſe in ſich begreiffet jhr aber juncker hans von falckenreder der chriſtlichen leichproceßion ewer geliebten haußfrawen in der perſon zu folgen vnd beneben andern adelichen vnd buͤrgerlichen leidtragenden beyzuwohnen durch vnverſehener leibsſchwachheit als dann zu ruͤck gehalten vnd verhindert worden dannenhero jhr ſelbſt begehr et vnd durch andern bitten laſſen das ſolcht leichsſermon durch den abdruck euch zu leſen vberreichet werden moͤchte zumal weil auch jhr ewer ſehnliches verlangen der vorhin geſchickten ehfrawen durch ſeliges abſterben bald bald nachzufolgen ſo wol mit deutlichen worten als durch die vorlangſt anhero verſchafften leichſteinen vnd auserſehene grabſtaͤdte in der brix kirche allhier von euch vnd am tage gegeben habe ich demnach gott zu ewigen ehren e g vnd t als nachgelaſſenen eheman vnnd leiblichen bruͤdern vnnd schweſtern zu ſonderbaren gefallen der numehro im gott ruhenden frawen hippolytæ von erichsleben zum ruhmſeligen zeugniß jhres ehrnreiches wolgefuͤhrten chriſtenthumbs vnnd friedlichen abſchieds auch wol andern frommen sterbſuͤchtigen mit chriſten zum einfeltigen bericht dieſe durch des guten geiſtes eingeben gehaltene leichpredigt zum abdruck vmbſchreiben vnd e g vnd t alten loͤblichen gebrauch nach zur anzeigung chriſtlicher affection vnd freundlichen dienſten nunaupirn vnd zuſchreiben wollen vnd ſollen der zu vorleſſigen hoffnung e g vnd t werden ſolche auffgewandte amptarbeit vnnd dedication im beſten vormercken vnd annehmen helffe der himliſche vater daß das edle kraͤutlin die sehnſucht ſelig zu ſterben in vnſer aller hertzgaͤrtlein durchs wort gottes vnd heilige sacramenten in kraͤfftiger wirckung des werthen heiligen geiſtes gepflantzt vnnd von tag zu tag ſtaͤrcker werde durch jeſum chriſtum hochgelobet in ewigkeit amen thue e g vnd t goͤttlicher vorſorg zum trewlichſten befehlen,gestrenge edle ehrnueste iunckern dnnd ehrntugentsame fraw nach dem diese leichpredigt beydes einen christlichen bericht uon der hertzlichen sehnsucht nach einem seligen sterbstundlein und darnach den gottseligen wandel der weyland edlen und ehrntugentsamen frawen hippolytae ewer uielgeliebten ehgemahln und leiblicher schwestern summarischer weise in sich begreiffet ihr aber iuncker hans uon falckenreder der christlichen leichprocession ewer geliebten haussfrawen in der person zu folgen und beneben andern adelichen und burgerlichen leidtragenden beyzuwohnen durch unuersehener leibsschwachheit als dann zu ruck gehalten und uerhindert worden dannenhero ihr selbst begehr et und durch andern bitten lassen das solcht leichssermon durch den abdruck euch zu lesen uberreichet werden mochte zumal weil auch ihr ewer sehnliches uerlangen der uorhin geschickten ehfrawen durch seliges absterben bald bald nachzufolgen so wol mit deutlichen worten als durch die uorlangst anhero uerschafften leichsteinen und ausersehene grabstadte in der brix kirche allhier uon euch und am tage gegeben habe ich demnach gott zu ewigen ehren e g und t als nachgelassenen eheman unnd leiblichen brudern unnd schwestern zu sonderbaren gefallen der numehro im gott ruhenden frawen hippolytae uon erichsleben zum ruhmseligen zeugniss ihres ehrnreiches wolgefuhrten christenthumbs unnd friedlichen abschieds auch wol andern frommen sterbsuchtigen mit christen zum einfeltigen bericht diese durch des guten geistes eingeben gehaltene leichpredigt zum abdruck umbschreiben und e g und t alten loblichen gebrauch nach zur anzeigung christlicher affection und freundlichen diensten nunaupirn und zuschreiben wollen und sollen der zu uorlessigen hoffnung e g und t werden solche auffgewandte amptarbeit unnd dedication im besten uormercken und annehmen helffe der himlische uater dass das edle krautlin die sehnsucht selig zu sterben in unser aller hertzgartlein durchs wort gottes und heilige sacramenten in krafftiger wirckung des werthen heiligen geistes gepflantzt unnd uon tag zu tag starcker werde durch iesum christum hochgelobet in ewigkeit amen thue e g und t gottlicher uorsorg zum trewlichsten befehlen
524586,body,2,1,True,[6],Denen vermoͤgende vnnd in Ehren zu wilfahren/ bin ich bereit willig:,denen vermoͤgende vnnd in ehren zu wilfahren bin ich bereit willig,denen uermogende unnd in ehren zu wilfahren bin ich bereit willig
524586,body,3,0,True,[6],Geben Beltzigk den 21. Decembris Jm Jahr vnſers Erloͤſers 1614. M. Michael Mulingius.,geben beltzigk den decembris jm jahr vnſers erloͤſers m michael mulingius,geben beltzigk den decembris im iahr unsers erlosers m michael mulingius
524586,head,4,0,False,[7],Σύν Θεῷ.,σύν θεῷ,
524586,body,4,1,True,[7],Chriſtliche Leichpredigt.,chriſtliche leichpredigt,christliche leichpredigt
524586,body,5,0,False,[7],GEliebte vnd andaͤchtige im Herrn Chriſto.,geliebte vnd andaͤchtige im herrn chriſto,geliebte und andachtige im herrn christo
524586,body,5,1,False,[7],Dreyerley handelt der ermelte Zuchtlehrer in ſeinem Todtesſermon Cap. 41. Einmal/ Wie vnnd welchem der Todt bitter vnnd blutſawer ankoͤmpt/ nemlich dem Menſchen/ der gute Tage vnd gnug hat/ vnd ohne Sorgen lebet/ vnnd dem es wolgehet in allen dingen/ vnnd noch woleſſen mag.,dreyerley handelt der ermelte zuchtlehrer in ſeinem todtesſermon cap einmal wie vnnd welchem der todt bitter vnnd blutſawer ankoͤmpt nemlich dem menſchen der gute tage vnd gnug hat vnd ohne sorgen lebet vnnd dem es wolgehet in allen dingen vnnd noch woleſſen mag,dreyerley handelt der ermelte zuchtlehrer in seinem todtessermon cap einmal wie unnd welchem der todt bitter unnd blutsawer ankompt nemlich dem menschen der gute tage und gnug hat und ohne sorgen lebet unnd dem es wolgehet in allen dingen unnd noch wolessen mag
524586,body,5,2,True,[7],Nachmals/ wie vnd welchem das Sterben gewuͤntſcht vnnd angenehm ſey/ als der duͤrfftig/ ſchwach vnd alt iſt/ der in allen Sorgen ſtecket/ vnnd nichts beſſers zu hoffen/ noch zu gewarten hat: Vnd denn endlich/ Wie vnd worumb der Todt nicht ſo ſehr zu fuͤrchten ſey: Weil er von Gott dem HErrn verordnet/ vnd zwar vber alle Menſchen/ beydes derer/ ſo verſtorben vnd noch geboren werden/ man lebe/ ſo lang man kan/ es ſeynd zehen/ hundert oder tauſent Jahr: Jn Betrachtung/ das man im Todte nicht frage/ wie lang einer gelebt habe/ dorumb niemand wider Gottes Willen zu ſterben ſich wegen ſol.,nachmals wie vnd welchem das sterben gewuͤntſcht vnnd angenehm ſey als der duͤrfftig ſchwach vnd alt iſt der in allen sorgen ſtecket vnnd nichts beſſers zu hoffen noch zu gewarten hat vnd denn endlich wie vnd worumb der todt nicht ſo ſehr zu fuͤrchten ſey weil er von gott dem herrn verordnet vnd zwar vber alle menſchen beydes derer ſo verſtorben vnd noch geboren werden man lebe ſo lang man kan es ſeynd zehen hundert oder tauſent jahr jn betrachtung das man im todte nicht frage wie lang einer gelebt habe dorumb niemand wider gottes willen zu ſterben ſich wegen ſol,nachmals wie und welchem das sterben gewuntscht unnd angenehm sey als der durfftig schwach und alt ist der in allen sorgen stecket unnd nichts bessers zu hoffen noch zu gewarten hat und denn endlich wie und worumb der todt nicht so sehr zu furchten sey weil er uon gott dem herrn uerordnet und zwar uber alle menschen beydes derer so uerstorben und noch geboren werden man lebe so lang man kan es seynd zehen hundert oder tausent iahr in betrachtung das man im todte nicht frage wie lang einer gelebt habe dorumb niemand wider gottes willen zu sterben sich wegen sol
