doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
bacmeister_predigt_1614,head,0,0,True,3,"Leichpredigt/ BEy der Volckreichen vnd anſehnlichen Begrebnuß des Weiland Edlen/ Geſtrengen vnd Ehrnueſten TEſſen Von PArſow/ Fuͤrſtlichen Meckelnburgiſchen beſtalten Obriſten vnd geheimen Rath/ auff Parſow vnd Vpall Erbgeſeſſen. Den 27. Septembris dieſes 1614. Jahrs zu Guͤſtrow in der Thumbkirchen gehalten/ Durch LUCAM BACMEISTERUM der heiligen Schrifft Doctorem, vnd Superintendentem daſelbſt. Roſtock/ Gedrucket durch Jochim Fueß/ Anno M. DC. XIV.",leichpredigt bey der volckreichen vnd anſehnlichen begrebnuß des weiland edlen geſtrengen vnd ehrnueſten teſſen von parſow fuͤrſtlichen meckelnburgiſchen beſtalten obriſten vnd geheimen rath auff parſow vnd vpall erbgeſeſſen den septembris dieſes jahrs zu guͤſtrow in der thumbkirchen gehalten durch lucam bacmeisterum der heiligen schrifft doctorem vnd superintendentem daſelbſt roſtock gedrucket durch jochim fueß anno m dc xiv,leichpredigt bey der uolckreichen und ansehnlichen begrebnuss des weiland edlen gestrengen und ehrnuesten tessen uon parsow furstlichen meckelnburgischen bestalten obristen und geheimen rath auff parsow und upall erbgesessen den septembris dieses iahrs zu gustrow in der thumbkirchen gehalten durch lucam bacmeisterum der heiligen schrifft doctorem und superintendentem daselbst rostock gedrucket durch iochim fuess anno m dc xiu
bacmeister_predigt_1614,head,1,0,True,5,"Dem Durchleuchtigen/ Hochgebornen Fuͤrſten vnd Herrn/ Herrn HANS ALBRECHTEN, Hertzogen zu Meckelnburg/ Fuͤrſten zu Wenden/ Graffen zu Schwerin/ der Lande Roſtock vnd Stargardt Herrn/ Meinem gnedigen Fuͤrſten vnd Herrn.",dem durchleuchtigen hochgebornen fuͤrſten vnd herrn herrn hans albrechten hertzogen zu meckelnburg fuͤrſten zu wenden graffen zu schwerin der lande roſtock vnd stargardt herrn meinem gnedigen fuͤrſten vnd herrn,dem durchleuchtigen hochgebornen fursten und herrn herrn hans albrechten hertzogen zu meckelnburg fursten zu wenden graffen zu schwerin der lande rostock und stargardt herrn meinem gnedigen fursten und herrn
bacmeister_predigt_1614,body,2,0,False,5,"DVrchleuchtiger/ Hochgeborner Fuͤrſt/ Gnediger Herr/ das ich kegenwertige Leichpredigt/ ſo auff E. F. G. gnediges begehren vnd befehlich/ ich vnlangſt alhie gehalten/ abfaſſen/ vnd ans Liecht kom̃en laſſen wollen/ habe ich vnter andern ſehr erheblichen vrſachen/ auch dieſe gehabt: Weil leider das Heideniſche Außfoddern vnd Balgen/ in dieſen letzten zeiten der argen Welt auch in dieſem Lande ſo gar gemein wird/ das nicht allein vnter jungen Studenten vnd andern gemeines ſtandes Perſonen/ newlicher zeit wider Gott vnd recht/ jhrer viel Vnmenſchlich erſtochen vnd vmbs Leben kommen ſein/ ſondern auch mehrmahls Vornehme Rittermeſſige Leute/ auß geringen vrſachen ſich außfoddern/ vnd da ſie dem gemeinen nutz noch viel dienen koͤnten/ in einander fallen/ vnd ſich vmb das allerkoͤſtlichſte gutt/ welches Gott allem geben kan/ das liebe Leben bringen: Ja wol bißweilen etliche gefunden werden/ welche ſich leichtfertig vorſchweren/ vnd wol Teuffliſch vormeſſen duͤrffen/ ſie wollen jhr Heupt nicht ſanffte legen/ ja dieſer oder jener ſolle ſie hinfuͤhren/ wo ſie nicht dieſen oder jennen noch auff die Seele nehmen/ oder da ſie ſelbſt dazu nicht kommen koͤnnen/ durch andere ſolches wollen zu wergk richten laſſen: Vnd ich alſo ampts vnd gewiſſens halben/ dauon etwas bey dieſer gelegenheit ſagen muͤſſen: Das ich hiemit auß Gottes Wort zuuerſtehn geben moͤchte/ welch eine grewliche Suͤnde ſolch außfoddern vnd Balgen fuͤr Gott ſey/ vnd mit ſolcher trewlichen vnd ernſten warnung/ meine Seele/ vermoͤge Goͤttlichen befehlichs Ezechielis am 33. verſ. 9. erretten: Auch jedermenniglich hierauß abnehmen moͤchte/ das E. F. G. in dero kegenwart dieſe Predigt vorrichtet/ ſolche freuentliche thaten mit nichten approbieren/ ſondern daran als ein Chriſtlicher Fuͤrſt vnd Utriusq́ue tabulæ Decalogi cuſtos, der vber die beyden Tabeln des geſetzes Gottes mit ernſt zu halten ſchuͤldig iſt/ ein gantz vngnediges mißfallen tragen.",dvrchleuchtiger hochgeborner fuͤrſt gnediger herr das ich kegenwertige leichpredigt ſo auff e f g gnediges begehren vnd befehlich ich vnlangſt alhie gehalten abfaſſen vnd ans liecht kom̃en laſſen wollen habe ich vnter andern ſehr erheblichen vrſachen auch dieſe gehabt weil leider das heideniſche außfoddern vnd balgen in dieſen letzten zeiten der argen welt auch in dieſem lande ſo gar gemein wird das nicht allein vnter jungen studenten vnd andern gemeines ſtandes perſonen newlicher zeit wider gott vnd recht jhrer viel vnmenſchlich erſtochen vnd vmbs leben kommen ſein ſondern auch mehrmahls vornehme rittermeſſige leute auß geringen vrſachen ſich außfoddern vnd da ſie dem gemeinen nutz noch viel dienen koͤnten in einander fallen vnd ſich vmb das allerkoͤſtlichſte gutt welches gott allem geben kan das liebe leben bringen ja wol bißweilen etliche gefunden werden welche ſich leichtfertig vorſchweren vnd wol teuffliſch vormeſſen duͤrffen ſie wollen jhr heupt nicht ſanffte legen ja dieſer oder jener ſolle ſie hinfuͤhren wo ſie nicht dieſen oder jennen noch auff die seele nehmen oder da ſie ſelbſt dazu nicht kommen koͤnnen durch andere ſolches wollen zu wergk richten laſſen vnd ich alſo ampts vnd gewiſſens halben dauon etwas bey dieſer gelegenheit ſagen muͤſſen das ich hiemit auß gottes wort zuuerſtehn geben moͤchte welch eine grewliche suͤnde ſolch außfoddern vnd balgen fuͤr gott ſey vnd mit ſolcher trewlichen vnd ernſten warnung meine seele vermoͤge goͤttlichen befehlichs ezechielis am verſ erretten auch jedermenniglich hierauß abnehmen moͤchte das e f g in dero kegenwart dieſe predigt vorrichtet ſolche freuentliche thaten mit nichten approbieren ſondern daran als ein chriſtlicher fuͤrſt vnd utriusq́ue tabulæ decalogi cuſtos der vber die beyden tabeln des geſetzes gottes mit ernſt zu halten ſchuͤldig iſt ein gantz vngnediges mißfallen tragen,durchleuchtiger hochgeborner furst gnediger herr das ich kegenwertige leichpredigt so auff e f g gnediges begehren und befehlich ich unlangst alhie gehalten abfassen und ans liecht kommen lassen wollen habe ich unter andern sehr erheblichen ursachen auch diese gehabt weil leider das heidenische aussfoddern und balgen in diesen letzten zeiten der argen welt auch in diesem lande so gar gemein wird das nicht allein unter iungen studenten und andern gemeines standes personen newlicher zeit wider gott und recht ihrer uiel unmenschlich erstochen und umbs leben kommen sein sondern auch mehrmahls uornehme rittermessige leute auss geringen ursachen sich aussfoddern und da sie dem gemeinen nutz noch uiel dienen konten in einander fallen und sich umb das allerkostlichste gutt welches gott allem geben kan das liebe leben bringen ia wol bissweilen etliche gefunden werden welche sich leichtfertig uorschweren und wol teufflisch uormessen durffen sie wollen ihr heupt nicht sanffte legen ia dieser oder iener solle sie hinfuhren wo sie nicht diesen oder iennen noch auff die seele nehmen oder da sie selbst dazu nicht kommen konnen durch andere solches wollen zu wergk richten lassen und ich also ampts und gewissens halben dauon etwas bey dieser gelegenheit sagen mussen das ich hiemit auss gottes wort zuuerstehn geben mochte welch eine grewliche sunde solch aussfoddern und balgen fur gott sey und mit solcher trewlichen und ernsten warnung meine seele uermoge gottlichen befehlichs ezechielis am uers erretten auch iedermenniglich hierauss abnehmen mochte das e f g in dero kegenwart diese predigt uorrichtet solche freuentliche thaten mit nichten approbieren sondern daran als ein christlicher furst und utriusque tabulae decalogi custos der uber die beyden tabeln des gesetzes gottes mit ernst zu halten schuldig ist ein gantz ungnediges missfallen tragen
bacmeister_predigt_1614,body,2,1,False,7,Darumb ich den auch dieſe Predigt in jhren formalibus vnd worten/ wie ich ſie durch Gottes gnade gehalten/ vngeendert bleiben laſſen/ allein das ich ſie mit noch etlichen Spruͤchen Goͤttliches worts/ welche zeithalber ich domahln nicht gentzlich beybringen koͤnnen/ ſonderlich in der Lehre in welcher wider die Todtſchlaͤge gehandelt wirt/ gemehret habe: Der vngezweiffelten hoffnung/ Gott werde ſolchem ſeinem Donner/ da nicht bey allen/ doch bey etzlichen krafft geben/ vnd durch ſeinen Geiſt des Friedes vorleyhen/ das diß gute Landt mit Blutſchulden nicht vberheuffet/ vnd durch ſeinen brennenden zorn vorzehret werde.,darumb ich den auch dieſe predigt in jhren formalibus vnd worten wie ich ſie durch gottes gnade gehalten vngeendert bleiben laſſen allein das ich ſie mit noch etlichen spruͤchen goͤttliches worts welche zeithalber ich domahln nicht gentzlich beybringen koͤnnen ſonderlich in der lehre in welcher wider die todtſchlaͤge gehandelt wirt gemehret habe der vngezweiffelten hoffnung gott werde ſolchem ſeinem donner da nicht bey allen doch bey etzlichen krafft geben vnd durch ſeinen geiſt des friedes vorleyhen das diß gute landt mit blutſchulden nicht vberheuffet vnd durch ſeinen brennenden zorn vorzehret werde,darumb ich den auch diese predigt in ihren formalibus und worten wie ich sie durch gottes gnade gehalten ungeendert bleiben lassen allein das ich sie mit noch etlichen spruchen gottliches worts welche zeithalber ich domahln nicht gentzlich beybringen konnen sonderlich in der lehre in welcher wider die todtschlage gehandelt wirt gemehret habe der ungezweiffelten hoffnung gott werde solchem seinem donner da nicht bey allen doch bey etzlichen krafft geben und durch seinen geist des friedes uorleyhen das diss gute landt mit blutschulden nicht uberheuffet und durch seinen brennenden zorn uorzehret werde
bacmeister_predigt_1614,body,2,2,False,7,Zu welchem ende ich auch auß gutem Chriſtlichem wolmeinen/ einen Summariſchen Extract/ des Edicts Henrici des vierten vnlangſt Koͤnigs in Franckreich/ wider das Außfoddern vnd Balgen hinan drucken laſſen/ das man darauß ſehen vnd lernen moͤge/ das nicht allein vnſer HErr Gott/ deſſen Verbott doch bey vns Chriſten allein gnugſam ſein ſolte: Sondern auch viel Chriſtliche Hertzen/ an ſolchem weſen keinen gefallen haben.,zu welchem ende ich auch auß gutem chriſtlichem wolmeinen einen summariſchen extract des edicts henrici des vierten vnlangſt koͤnigs in franckreich wider das außfoddern vnd balgen hinan drucken laſſen das man darauß ſehen vnd lernen moͤge das nicht allein vnſer herr gott deſſen verbott doch bey vns chriſten allein gnugſam ſein ſolte sondern auch viel chriſtliche hertzen an ſolchem weſen keinen gefallen haben,zu welchem ende ich auch auss gutem christlichem wolmeinen einen summarischen extract des edicts henrici des uierten unlangst konigs in franckreich wider das aussfoddern und balgen hinan drucken lassen das man darauss sehen und lernen moge das nicht allein unser herr gott dessen uerbott doch bey uns christen allein gnugsam sein solte sondern auch uiel christliche hertzen an solchem wesen keinen gefallen haben
bacmeister_predigt_1614,body,2,3,True,7,Welche meine geringe doch auß Chriſtlichem gemuͤhte vnd gewiſſen herruͤhrende amptsarbeit/ E. F. G. auß dero kegen meine weinige Perſohn tragenden gnedigen affection/ in gnaden annehmen vnd vermercken/ Fuͤrſtlich vber Gottes Wort vnd geſetz eiffern/ muͤtig ſein in den Wegen des HErrn/ 2. Chronic 17. verſ. 6. vnd hinfuͤhro mein gnediger Fuͤrſt vnd Herr ſein vnd bleiben wollen.,welche meine geringe doch auß chriſtlichem gemuͤhte vnd gewiſſen herruͤhrende amptsarbeit e f g auß dero kegen meine weinige perſohn tragenden gnedigen affection in gnaden annehmen vnd vermercken fuͤrſtlich vber gottes wort vnd geſetz eiffern muͤtig ſein in den wegen des herrn chronic verſ vnd hinfuͤhro mein gnediger fuͤrſt vnd herr ſein vnd bleiben wollen,welche meine geringe doch auss christlichem gemuhte und gewissen herruhrende amptsarbeit e f g auss dero kegen meine weinige persohn tragenden gnedigen affection in gnaden annehmen und uermercken furstlich uber gottes wort und gesetz eiffern mutig sein in den wegen des herrn chronic uers und hinfuhro mein gnediger furst und herr sein und bleiben wollen
bacmeister_predigt_1614,body,3,0,False,8,Der getrewe Gott/ wolle E. F. G. ſampt dero hertzvielgeliebten Gemahlin/ meiner gnedigen Fuͤrſtin vnd Frawen/ vnd Fuͤrſtlichen hertzlieben Frewlein ferner in gnaden mehr vnd mehr geſegnen/ in erkanter vnd bekanter Warheit ſeines Goͤttlichen Worts/ zu dieſen gefehrlichen zeiten/ durch ſeinen guten Geiſt befeſtigen vnd beſtetigen/ vnd ſampt dem gantzen hochloͤblichen Meckelnburgiſchen Hauſe/ bey friedſamer Regierung vnd Fuͤrſtlichem wolergehen lange zeit erhalten.,der getrewe gott wolle e f g ſampt dero hertzvielgeliebten gemahlin meiner gnedigen fuͤrſtin vnd frawen vnd fuͤrſtlichen hertzlieben frewlein ferner in gnaden mehr vnd mehr geſegnen in erkanter vnd bekanter warheit ſeines goͤttlichen worts zu dieſen gefehrlichen zeiten durch ſeinen guten geiſt befeſtigen vnd beſtetigen vnd ſampt dem gantzen hochloͤblichen meckelnburgiſchen hauſe bey friedſamer regierung vnd fuͤrſtlichem wolergehen lange zeit erhalten,der getrewe gott wolle e f g sampt dero hertzuielgeliebten gemahlin meiner gnedigen furstin und frawen und furstlichen hertzlieben frewlein ferner in gnaden mehr und mehr gesegnen in erkanter und bekanter warheit seines gottlichen worts zu diesen gefehrlichen zeiten durch seinen guten geist befestigen und bestetigen und sampt dem gantzen hochloblichen meckelnburgischen hause bey friedsamer regierung und furstlichem wolergehen lange zeit erhalten
bacmeister_predigt_1614,body,3,1,False,8,Das verleyhe der liebe Gott/ vmb JEſu CHriſti vnſers getrewen Heilandes vnd Erloͤſers willen/ Amen.,das verleyhe der liebe gott vmb jeſu chriſti vnſers getrewen heilandes vnd erloͤſers willen amen,das uerleyhe der liebe gott umb iesu christi unsers getrewen heilandes und erlosers willen amen
bacmeister_predigt_1614,body,3,2,False,8,Datum Guͤſtrow/ den 14. Novembr.,datum guͤſtrow den novembr,datum gustrow den nouembr
bacmeister_predigt_1614,body,3,3,True,8,Anno 1614.,anno,anno
