doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
opitz_poemata_1624,body,0,0,True,5,"Martini Opicii. Teutſche Pöemata und: Aristarchvs Wieder die verachtung Teutſcher Sprach, Item Verteutſchung Danielis Heinſij Lobgeſangs Ieſu Christi, vnd Hymni in Bachum Sampt einem anhang Mehr auſerleßener geticht anderer Teutſcher Pöeter. Der gleichen in dieſer Sprach Hiebeuor nicht auß kommen. Straßburg In verlegung Eberhard Zetzners Anno 1624.",martini opicii teutſche pöemata und aristarchvs wieder die verachtung teutſcher sprach item verteutſchung danielis heinſij lobgeſangs ieſu christi vnd hymni in bachum sampt einem anhang mehr auſerleßener geticht anderer teutſcher pöeter der gleichen in dieſer sprach hiebeuor nicht auß kommen straßburg in verlegung eberhard zetzners anno,martini opicii teutsche poemata und aristarchus wieder die uerachtung teutscher sprach item uerteutschung danielis heinsii lobgesangs iesu christi und hymni in bachum sampt einem anhang mehr auserlessener geticht anderer teutscher poeter der gleichen in dieser sprach hiebeuor nicht auss kommen strassburg in uerlegung eberhard zetzners anno
opitz_poemata_1624,body,1,0,True,7,Dem Hochgebornen Herꝛn/ Herꝛn Eberharden/ Herꝛn zu Rappoltſtein/ Hohenach vnd Geroltzeck/ ꝛc. Meinem Gnedigen Herꝛn.,dem hochgebornen herꝛn herꝛn eberharden herꝛn zu rappoltſtein hohenach vnd geroltzeck ꝛc meinem gnedigen herꝛn,dem hochgebornen hern hern eberharden hern zu rappoltstein hohenach und geroltzeck c meinem gnedigen hern
opitz_poemata_1624,body,2,0,False,7,HOchgeborner Gnaͤdiger Herꝛ.,hochgeborner gnaͤdiger herꝛ,hochgeborner gnadiger her
opitz_poemata_1624,body,2,1,False,7,Daß ich dieſes Poetiſche Wercklin in offenem Truck gemein machen wollen/ deſſen hab ich vnderſchiedliche Vrſachen.,daß ich dieſes poetiſche wercklin in offenem truck gemein machen wollen deſſen hab ich vnderſchiedliche vrſachen,dass ich dieses poetische wercklin in offenem truck gemein machen wollen dessen hab ich underschiedliche ursachen
opitz_poemata_1624,body,2,2,False,7,Erſtlich/ dardurch die Außlaͤnder zu vberweiſen/ wie gar vnrecht ſie daran ſeyen/ in dem ſie jhnen einbilden/ daß ſie die Laiteren/ durch welche ſie vff die Parnaſſiſche ſpitze geſtiegen/ hernach gezogen/ vnd jhnen alſo niemandt folgen koͤnne/ welche jhre meinung aber hierdurch zu nicht gemacht an ſich ſelbſt verſchwindet.,erſtlich dardurch die außlaͤnder zu vberweiſen wie gar vnrecht ſie daran ſeyen in dem ſie jhnen einbilden daß ſie die laiteren durch welche ſie vff die parnaſſiſche ſpitze geſtiegen hernach gezogen vnd jhnen alſo niemandt folgen koͤnne welche jhre meinung aber hierdurch zu nicht gemacht an ſich ſelbſt verſchwindet,erstlich dardurch die ausslander zu uberweisen wie gar unrecht sie daran seyen in dem sie ihnen einbilden dass sie die laiteren durch welche sie uff die parnassische spitze gestiegen hernach gezogen und ihnen also niemandt folgen konne welche ihre meinung aber hierdurch zu nicht gemacht an sich selbst uerschwindet
opitz_poemata_1624,body,2,3,False,7,Vors ander/ den Inlaͤndern vnd Landtsleuten hingegen zu zeigen/ wievil ſie in jhrer Mutterſprache/ vnd dieſe hinwiderumb in jhnen vermoͤchten/ wann ſie nur wolten: vnd nicht lieber wolten deroſelbẽ/ als eines geheimen Schatzes oder verſchloſſenen Krames/ den man nicht angreiffen oder außlegen darff/ ſich gebrauchen.,vors ander den inlaͤndern vnd landtsleuten hingegen zu zeigen wievil ſie in jhrer mutterſprache vnd dieſe hinwiderumb in jhnen vermoͤchten wann ſie nur wolten vnd nicht lieber wolten deroſelbẽ als eines geheimen schatzes oder verſchloſſenen krames den man nicht angreiffen oder außlegen darff ſich gebrauchen,uors ander den inlandern und landtsleuten hingegen zu zeigen wieuil sie in ihrer muttersprache und diese hinwiderumb in ihnen uermochten wann sie nur wolten und nicht lieber wolten deroselben als eines geheimen schatzes oder uerschlossenen krames den man nicht angreiffen oder ausslegen darff sich gebrauchen
opitz_poemata_1624,body,2,4,False,7,Vors dritte/ die gewelſchte Teutſchen dardurch zu vberzeugẽ/ wie vndanckbarlich ſie ſich an der Mutterſprach nit allein/ ſondern auch an ſich ſelbſt vergreiffen: Vnd zwar an der Mutterſprach in dem/ daß ſie lieber in frembden Sprachen ſtamlen/ als in deren/ welche jhnen angeboren/ zu vollkommener Wohlredenheit gelangen/ viel lieber bey den frembden hinden nach/ als bey jhren Landtsleuten voran gehen/ bey jenen die Thůr zu/ als bey dieſen vffſchlieſſen wollen/ vnd alſo darvor halten/ daß in frembder Sprach den geringſten fehler reiſſen/ ein Todſuͤnde/ hingegen in jhrer Sprach einen Solœciſmum vnd Bachanterey vber die ander begehẽ/ keine Schandt ſeye: An jhnen ſelbſt; in dem ſie ſich muthwillig zu Sclaven frembder Dienſtbarkeit machen/ ſintemahl es nicht ein geringeres Joch iſt/ von einer außlaͤndiſchen Sprach/ als von einer außlaͤndiſchen Nation beherꝛſchet vñ Tyranniſiret werden.,vors dritte die gewelſchte teutſchen dardurch zu vberzeugẽ wie vndanckbarlich ſie ſich an der mutterſprach nit allein ſondern auch an ſich ſelbſt vergreiffen vnd zwar an der mutterſprach in dem daß ſie lieber in frembden sprachen ſtamlen als in deren welche jhnen angeboren zu vollkommener wohlredenheit gelangen viel lieber bey den frembden hinden nach als bey jhren landtsleuten voran gehen bey jenen die thůr zu als bey dieſen vffſchlieſſen wollen vnd alſo darvor halten daß in frembder sprach den geringſten fehler reiſſen ein todſuͤnde hingegen in jhrer sprach einen solœciſmum vnd bachanterey vber die ander begehẽ keine schandt ſeye an jhnen ſelbſt in dem ſie ſich muthwillig zu sclaven frembder dienſtbarkeit machen ſintemahl es nicht ein geringeres joch iſt von einer außlaͤndiſchen sprach als von einer außlaͤndiſchen nation beherꝛſchet vñ tyranniſiret werden,uors dritte die gewelschte teutschen dardurch zu uberzeugen wie undanckbarlich sie sich an der muttersprach nit allein sondern auch an sich selbst uergreiffen und zwar an der muttersprach in dem dass sie lieber in frembden sprachen stamlen als in deren welche ihnen angeboren zu uollkommener wohlredenheit gelangen uiel lieber bey den frembden hinden nach als bey ihren landtsleuten uoran gehen bey ienen die thur zu als bey diesen uffschliessen wollen und also daruor halten dass in frembder sprach den geringsten fehler reissen ein todsunde hingegen in ihrer sprach einen soloecismum und bachanterey uber die ander begehen keine schandt seye an ihnen selbst in dem sie sich muthwillig zu sclauen frembder dienstbarkeit machen sintemahl es nicht ein geringeres ioch ist uon einer ausslandischen sprach als uon einer ausslandischen nation beherschet und tyrannisiret werden
opitz_poemata_1624,body,2,5,True,8,Gerahten alſo/ durch dieſen jhren Alberen Wohn/ endlich dahin/ daß ſie daheim billich verhaſt vnd veracht werden.,gerahten alſo durch dieſen jhren alberen wohn endlich dahin daß ſie daheim billich verhaſt vnd veracht werden,gerahten also durch diesen ihren alberen wohn endlich dahin dass sie daheim billich uerhast und ueracht werden
opitz_poemata_1624,body,3,0,False,8,Als vor Zeiten die Roͤmer angefangen in jhrer Sprach zuſchreibẽ/ ware Grichenlãd bereit mit einẽ ſolchen getrẽg vnvergleichlicher Scribenten erfuͤllet/ deren Nam vnd Geſchickligkeit in alle Welt ſich außbreitete/ daß freilich kein frembder hindurch tringen/ vil weniger jhnen den vorzug ablauffen konte.,als vor zeiten die roͤmer angefangen in jhrer sprach zuſchreibẽ ware grichenlãd bereit mit einẽ ſolchen getrẽg vnvergleichlicher scribenten erfuͤllet deren nam vnd geſchickligkeit in alle welt ſich außbreitete daß freilich kein frembder hindurch tringen vil weniger jhnen den vorzug ablauffen konte,als uor zeiten die romer angefangen in ihrer sprach zuschreiben ware grichenland bereit mit einen solchen getreng unuergleichlicher scribenten erfullet deren nam und geschickligkeit in alle welt sich aussbreitete dass freilich kein frembder hindurch tringen uil weniger ihnen den uorzug ablauffen konte
opitz_poemata_1624,body,3,1,False,8,"Noch dennoch ließen ſich jene darũb nit abſchrecken/ ſondern wurden eben hierdurch bewegt/ jhre eigene Sprach nur deſto mehr zu zieren/ zuerweiteren/ vnd auffzubringen: geſtalt Cicero, vngeacht er in der wiſſenſchafft Grichiſcher Sprach zu jedermans verwunderung hoch geſtiegen/ dannoch das Lob eines aller fuͤrtrefflichſten Redners nicht durch das Grichiſch/ ſondern durch ſein Naturliche Sprach erlangt.",noch dennoch ließen ſich jene darũb nit abſchrecken ſondern wurden eben hierdurch bewegt jhre eigene sprach nur deſto mehr zu zieren zuerweiteren vnd auffzubringen geſtalt cicero vngeacht er in der wiſſenſchafft grichiſcher sprach zu jedermans verwunderung hoch geſtiegen dannoch das lob eines aller fuͤrtrefflichſten redners nicht durch das grichiſch ſondern durch ſein naturliche sprach erlangt,noch dennoch liessen sich iene darumb nit abschrecken sondern wurden eben hierdurch bewegt ihre eigene sprach nur desto mehr zu zieren zuerweiteren und auffzubringen gestalt cicero ungeacht er in der wissenschafft grichischer sprach zu iedermans uerwunderung hoch gestiegen dannoch das lob eines aller furtrefflichsten redners nicht durch das grichisch sondern durch sein naturliche sprach erlangt
