doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1509_voghelen_vanghen,head,0,0,True,a1r,Dit boecxken leert hoemen mach voghelen vanghen.,dit boecxken leert hoemen mach voghelen vanghen,dit boecxken leert hoemen mach uoghelen uanghen
1509_voghelen_vanghen,body,1,0,True,a1r,Ende hoemen mach visschen vanghen metten handen. ende oec andersins.,ende hoemen mach visschen vanghen metten handen ende oec andersins,ende hoemen mach uisschen uanghen metten handen ende oec andersins
1509_voghelen_vanghen,body,2,0,True,a1r,Ende oec tot wat tijden vanden iare dat een yeghelijc visch tsijnen besten is.,ende oec tot wat tijden vanden iare dat een yeghelijc visch tsijnen besten is,ende oec tot wat tiiden uanden iare dat een yegheliic uisch tsiinen besten is
1509_voghelen_vanghen,head,3,0,True,a1v,¶ Dat eerste capittel leert hoemen voghelen eynden ende alderley vogelen vanghen sal,dat eerste capittel leert hoemen voghelen eynden ende alderley vogelen vanghen sal,dat eerste capittel leert hoemen uoghelen eynden ende alderley uogelen uanghen sal
1509_voghelen_vanghen,body,4,0,False,a2r,¶ Item men sal nemen tormentil ende sieden die in goeden wijn. ende daer na siede coren oft gerste oec daer in ende werpt dat aes op die plaetse die totten voghelen bereyt is danso eten si dat koren met der wortelen ende werden daer of recht of si droncken waren so dat si niet vlieghen en moghen ende vallen neder op die aerde.,item men sal nemen tormentil ende sieden die in goeden wijn ende daer na siede coren oft gerste oec daer in ende werpt dat aes op die plaetse die totten voghelen bereyt is danso eten si dat koren met der wortelen ende werden daer of recht of si droncken waren so dat si niet vlieghen en moghen ende vallen neder op die aerde,item men sal nemen tormentil ende sieden die in goeden wiin ende daer na siede coren oft gerste oec daer in ende werpt dat aes op die plaetse die totten uoghelen bereyt is danso eten si dat koren met der wortelen ende werden daer of recht of si droncken waren so dat si niet ulieghen en moghen ende uallen neder op die aerde
1509_voghelen_vanghen,body,4,1,True,a2r,Ende dit is inden winter beter ende bequamer wanneer datter groot snee leyt.,ende dit is inden winter beter ende bequamer wanneer datter groot snee leyt,ende dit is inden winter beter ende bequamer wanneer datter groot snee leyt
1509_voghelen_vanghen,head,5,0,True,a2r,¶ Dat anderde ca. leert een ander maniere om vogelen ende eynden te vanghen metten handen,dat anderde ca leert een ander maniere om vogelen ende eynden te vanghen metten handen,dat anderde ca leert een ander maniere om uogelen ende eynden te uanghen metten handen
1509_voghelen_vanghen,body,6,0,False,a2r,¶ Item neemt gherste ende werpt die op die plaetse daer die vogelen haer woninge hebben ende dat daer om dat si dier plaetsen ghewoenlijc worden. mer daer nae neemt gersten meel ende ossen galle mingetse tsamen ende maect daer af een pap. ende doet die pappe op een reyn berdeken.,item neemt gherste ende werpt die op die plaetse daer die vogelen haer woninge hebben ende dat daer om dat si dier plaetsen ghewoenlijc worden mer daer nae neemt gersten meel ende ossen galle mingetse tsamen ende maect daer af een pap ende doet die pappe op een reyn berdeken,item neemt gherste ende werpt die op die plaetse daer die uogelen haer woninge hebben ende dat daer om dat si dier plaetsen ghewoenliic worden mer daer nae neemt gersten meel ende ossen galle mingetse tsamen ende maect daer af een pap ende doet die pappe op een reyn berdeken
1509_voghelen_vanghen,body,6,1,True,a2r,Ende daer eten die voghelen dan of ende dan worden die vogelen so swaer als dat si niet meer vliegen en mogen so datmense dan metten handen vangen mach.,ende daer eten die voghelen dan of ende dan worden die vogelen so swaer als dat si niet meer vliegen en mogen so datmense dan metten handen vangen mach,ende daer eten die uoghelen dan of ende dan worden die uogelen so swaer als dat si niet meer uliegen en mogen so datmense dan metten handen uangen mach
1509_voghelen_vanghen,head,7,0,True,a2v,¶ Dat derde ca. leert noch een ander maniere.,dat derde ca leert noch een ander maniere,dat derde ca leert noch een ander maniere
1509_voghelen_vanghen,body,8,0,True,a2v,¶ Item neemt gerste ende vliegenswam ende menget tsamen ende siedet met malcanderen ende maect een brijken of papken daer van ende strijct dat op een bardeken ende legt dat omtrent daer die vogelen haer woninge hebben ende dair van sullen si eten ende als si daer van gheten hebben worden si swaer als voerseyt is ende dan machmense metten handen vanghen.,item neemt gerste ende vliegenswam ende menget tsamen ende siedet met malcanderen ende maect een brijken of papken daer van ende strijct dat op een bardeken ende legt dat omtrent daer die vogelen haer woninge hebben ende dair van sullen si eten ende als si daer van gheten hebben worden si swaer als voerseyt is ende dan machmense metten handen vanghen,item neemt gerste ende uliegenswam ende menget tsamen ende siedet met malcanderen ende maect een briiken of papken daer uan ende striict dat op een bardeken ende legt dat omtrent daer die uogelen haer woninge hebben ende dair uan sullen si eten ende als si daer uan gheten hebben worden si swaer als uoerseyt is ende dan machmense metten handen uanghen
1509_voghelen_vanghen,body,9,0,True,a2v,Om visch te vanghen.,om visch te vanghen,om uisch te uanghen
1509_voghelen_vanghen,head,10,0,True,a2v,¶ Dat vierde capittel leert hoemen metten handen mach visschen vanghen.,dat vierde capittel leert hoemen metten handen mach visschen vanghen,dat uierde capittel leert hoemen metten handen mach uisschen uanghen
1509_voghelen_vanghen,body,11,0,True,a2v,¶ Item neemt een loot kamffer een loet weyten meel een loot reygersmouts ende een loot vanden voernoemden vogels been ende stoten dat in puluer ende menget al onder malcanderen ende maect daer wt een salue ghi moecht oeck daer toe nemen een loot boem olie ende wanneer gh vischen wilt soe salue die handen ende die sceenbenen daer mede voer ende achter so suldi daer af veel wonders sien.,item neemt een loot kamffer een loet weyten meel een loot reygersmouts ende een loot vanden voernoemden vogels been ende stoten dat in puluer ende menget al onder malcanderen ende maect daer wt een salue ghi moecht oeck daer toe nemen een loot boem olie ende wanneer gh vischen wilt soe salue die handen ende die sceenbenen daer mede voer ende achter so suldi daer af veel wonders sien,item neemt een loot kamffer een loet weyten meel een loot reygersmouts ende een loot uanden uoernoemden uogels been ende stoten dat in puluer ende menget al onder malcanderen ende maect daer wt een salue ghi moecht oeck daer toe nemen een loot boem olie ende wanneer gh uischen wilt soe salue die handen ende die sceenbenen daer mede uoer ende achter so suldi daer af ueel wonders sien
1509_voghelen_vanghen,head,12,0,True,a3r,¶ Dat v. capittel leert hoemen karper barbeel ende ael vanghen mach metter anghelen,dat v capittel leert hoemen karper barbeel ende ael vanghen mach metter anghelen,dat u capittel leert hoemen karper barbeel ende ael uanghen mach metter anghelen
1509_voghelen_vanghen,body,13,0,True,a3r,¶ Item neemt kese ende wormen de aen dat water wonen ende sijn wormen die hoer huysken op ende met hen dragen ende dat heet stoc aes men vint die wormen in een hoelken Item neemt dat geel of doyer van drien eyeren. dese onstucken stoot al onder malcanderen ende maeckt hier of een deech daer na neemt bereiden kamffer so groot als een bone ende doet den kamffer onder dese voergenoemde stucken al tsamen ende als ghi visschen wilt so steket so groot als een erte aenden angel in een reyn doecxken.,item neemt kese ende wormen de aen dat water wonen ende sijn wormen die hoer huysken op ende met hen dragen ende dat heet stoc aes men vint die wormen in een hoelken item neemt dat geel of doyer van drien eyeren dese onstucken stoot al onder malcanderen ende maeckt hier of een deech daer na neemt bereiden kamffer so groot als een bone ende doet den kamffer onder dese voergenoemde stucken al tsamen ende als ghi visschen wilt so steket so groot als een erte aenden angel in een reyn doecxken,item neemt kese ende wormen de aen dat water wonen ende siin wormen die hoer huysken op ende met hen dragen ende dat heet stoc aes men uint die wormen in een hoelken item neemt dat geel of doyer uan drien eyeren dese onstucken stoot al onder malcanderen ende maeckt hier of een deech daer na neemt bereiden kamffer so groot als een bone ende doet den kamffer onder dese uoergenoemde stucken al tsamen ende als ghi uisschen wilt so steket so groot als een erte aenden angel in een reyn doecxken
1509_voghelen_vanghen,head,14,0,True,a3r,¶ Dat .vi. capittel leert hoemen voerken ende eschen met groter menichten vanghen mach,dat vi capittel leert hoemen voerken ende eschen met groter menichten vanghen mach,dat ui capittel leert hoemen uoerken ende eschen met groter menichten uanghen mach
1509_voghelen_vanghen,body,15,0,True,a3r,¶ Item neemt een swarte henne ende drie eyer doyers ende soffraen so groot als een erte ende daer na maect een gat in dat hoen ende maect dat gat weder toe daer na steket dat hoen in paerts mes .iij. oft .iiij. daghen alsoe langhe tot dat hoen vuyl en stinckende is Daer na neemt dat hoen weder wt so sult ghi dan in dat hoen vinden gelu wormkens ende dier stect altoes een aenden angel ende die ander bewaert in een busken so sult ghi wonder sien,item neemt een swarte henne ende drie eyer doyers ende soffraen so groot als een erte ende daer na maect een gat in dat hoen ende maect dat gat weder toe daer na steket dat hoen in paerts mes iij oft iiij daghen alsoe langhe tot dat hoen vuyl en stinckende is daer na neemt dat hoen weder wt so sult ghi dan in dat hoen vinden gelu wormkens ende dier stect altoes een aenden angel ende die ander bewaert in een busken so sult ghi wonder sien,item neemt een swarte henne ende drie eyer doyers ende soffraen so groot als een erte ende daer na maect een gat in dat hoen ende maect dat gat weder toe daer na steket dat hoen in paerts mes iii oft iiii daghen alsoe langhe tot dat hoen uuyl en stinckende is daer na neemt dat hoen weder wt so sult ghi dan in dat hoen uinden gelu wormkens ende dier stect altoes een aenden angel ende die ander bewaert in een busken so sult ghi wonder sien
1509_voghelen_vanghen,head,16,0,True,a3r,¶ Dat .vij. capittel leert hoemen die wormkens leuendich behouwen sal een gans iaer lanck.,dat vij capittel leert hoemen die wormkens leuendich behouwen sal een gans iaer lanck,dat uii capittel leert hoemen die wormkens leuendich behouwen sal een gans iaer lanck
1509_voghelen_vanghen,body,17,0,True,a3r,¶ Item neemt honich ende azijn ende siet dat te samen in een panneken so lange dattet scuymt daer na neemtet of ende doet die wormkens daer in ende daer toe doet bereyden kamffer soe groot als een bone.,item neemt honich ende azijn ende siet dat te samen in een panneken so lange dattet scuymt daer na neemtet of ende doet die wormkens daer in ende daer toe doet bereyden kamffer soe groot als een bone,item neemt honich ende aziin ende siet dat te samen in een panneken so lange dattet scuymt daer na neemtet of ende doet die wormkens daer in ende daer toe doet bereyden kamffer soe groot als een bone
1509_voghelen_vanghen,head,18,0,True,a3v,¶ Dat .viij. ca. leert noch een ander aes maken tot allen visschen int ghemeen.,dat viij ca leert noch een ander aes maken tot allen visschen int ghemeen,dat uiii ca leert noch een ander aes maken tot allen uisschen int ghemeen
1509_voghelen_vanghen,body,19,0,False,a3v,¶ Item neemt twee rode slecken ende een ionge swarte henne die noyt geleit en heeft. ende doodet die henne alsoe dat si niet en bloede. ende doet dye in een pot ende sietse ende wanneer die henne wel versoden is so doet die beenderkens vanden vleische ende doet dat ander in eenen nieuwen pot ende stopt dat wel datti ommer dicht si Ende stelt dat vij. oft viij. daghen in die sonne daer na doet den pot op ende stellet in die lucht een halue vre.,item neemt twee rode slecken ende een ionge swarte henne die noyt geleit en heeft ende doodet die henne alsoe dat si niet en bloede ende doet dye in een pot ende sietse ende wanneer die henne wel versoden is so doet die beenderkens vanden vleische ende doet dat ander in eenen nieuwen pot ende stopt dat wel datti ommer dicht si ende stelt dat vij oft viij daghen in die sonne daer na doet den pot op ende stellet in die lucht een halue vre,item neemt twee rode slecken ende een ionge swarte henne die noyt geleit en heeft ende doodet die henne alsoe dat si niet en bloede ende doet dye in een pot ende sietse ende wanneer die henne wel uersoden is so doet die beenderkens uanden uleische ende doet dat ander in eenen nieuwen pot ende stopt dat wel datti ommer dicht si ende stelt dat uii oft uiii daghen in die sonne daer na doet den pot op ende stellet in die lucht een halue ure
1509_voghelen_vanghen,body,19,1,False,a3v,Daer na neemt een goede hantvol gersten die wel gesoden ende verscuymt is ende doet die oec in dat potken ende daer af wort een deych. vanden deych stecket altoes een weynich aen die anghel.,daer na neemt een goede hantvol gersten die wel gesoden ende verscuymt is ende doet die oec in dat potken ende daer af wort een deych vanden deych stecket altoes een weynich aen die anghel,daer na neemt een goede hantuol gersten die wel gesoden ende uerscuymt is ende doet die oec in dat potken ende daer af wort een deych uanden deych stecket altoes een weynich aen die anghel
1509_voghelen_vanghen,body,19,2,True,a3v,Du moecht oec aen v handen strijken als ghi visschen wilt.,du moecht oec aen v handen strijken als ghi visschen wilt,du moecht oec aen u handen striiken als ghi uisschen wilt
1509_voghelen_vanghen,head,20,0,True,a3v,¶ Dat ix. ca. leert noch een ander bereytsel oft aes maken veel visch te vangen metter anghelen,dat ix ca leert noch een ander bereytsel oft aes maken veel visch te vangen metter anghelen,dat ix ca leert noch een ander bereytsel oft aes maken ueel uisch te uangen metter anghelen
1509_voghelen_vanghen,body,21,0,True,a3v,¶ Item neemt eens beuerts kullen oft sijn nieren ende menschen bloet ende gersten meel. ende maect aes daer wt ende neemt der cloetkens een ende stecket anden angel of bindet in een viscorf so dat v best past.,item neemt eens beuerts kullen oft sijn nieren ende menschen bloet ende gersten meel ende maect aes daer wt ende neemt der cloetkens een ende stecket anden angel of bindet in een viscorf so dat v best past,item neemt eens beuerts kullen oft siin nieren ende menschen bloet ende gersten meel ende maect aes daer wt ende neemt der cloetkens een ende stecket anden angel of bindet in een uiscorf so dat u best past
1509_voghelen_vanghen,head,22,0,True,a3v,¶ Dat .x. ca. leert noch een ander maniere,dat x ca leert noch een ander maniere,dat x ca leert noch een ander maniere
1509_voghelen_vanghen,body,23,0,True,a3v,¶ Item neemt voer eenen stuuer honich ende een noetscale vol moer olie ende menget dat onder malcanderen bouen den vier ende dat doet in een busken ende wanneer ghi visschen wilt so legt dat cloetken in die salf daer na neemt dat weder wt ende steket aen den angel daer af bijdt den vissche seer narstich,item neemt voer eenen stuuer honich ende een noetscale vol moer olie ende menget dat onder malcanderen bouen den vier ende dat doet in een busken ende wanneer ghi visschen wilt so legt dat cloetken in die salf daer na neemt dat weder wt ende steket aen den angel daer af bijdt den vissche seer narstich,item neemt uoer eenen stuuer honich ende een noetscale uol moer olie ende menget dat onder malcanderen bouen den uier ende dat doet in een busken ende wanneer ghi uisschen wilt so legt dat cloetken in die salf daer na neemt dat weder wt ende steket aen den angel daer af biidt den uissche seer narstich
1509_voghelen_vanghen,head,24,0,True,a3v,¶ Dat xi. ca. leert een ander aes maken visch mede te vanghen in netten oft koruen.,dat xi ca leert een ander aes maken visch mede te vanghen in netten oft koruen,dat xi ca leert een ander aes maken uisch mede te uanghen in netten oft koruen
1509_voghelen_vanghen,body,25,0,True,a4r,¶ Item neemt berensmout honich ende koestront inden mey ende smelt dat onder malcanderen daer na neemt een hant vol keruel ende menget die voergenoemde stucken al onder een ander ende maect cloetkens daer van laetse droghe werden ende hanctse inden viscorf soe ghi moghet.,item neemt berensmout honich ende koestront inden mey ende smelt dat onder malcanderen daer na neemt een hant vol keruel ende menget die voergenoemde stucken al onder een ander ende maect cloetkens daer van laetse droghe werden ende hanctse inden viscorf soe ghi moghet,item neemt berensmout honich ende koestront inden mey ende smelt dat onder malcanderen daer na neemt een hant uol keruel ende menget die uoergenoemde stucken al onder een ander ende maect cloetkens daer uan laetse droghe werden ende hanctse inden uiscorf soe ghi moghet
1509_voghelen_vanghen,head,26,0,True,a4r,¶ Dat xij. ca. leert een ander manier hoemen creeften ende ander visch inden mey ende inden somer vangen sal.,dat xij ca leert een ander manier hoemen creeften ende ander visch inden mey ende inden somer vangen sal,dat xii ca leert een ander manier hoemen creeften ende ander uisch inden mey ende inden somer uangen sal
1509_voghelen_vanghen,body,27,0,True,a4r,¶ Item neemt een boxs leuer ende braet die seer wel ende daer na besprenct dat metten bereiden kamfer Daer na neemt een netken van eenen kalue of scaep dat versch is. ende slaet dat net om die leuer daer na binde die leuer op een bert so ghi best moecht ende dan vangdi creften om vele,item neemt een boxs leuer ende braet die seer wel ende daer na besprenct dat metten bereiden kamfer daer na neemt een netken van eenen kalue of scaep dat versch is ende slaet dat net om die leuer daer na binde die leuer op een bert so ghi best moecht ende dan vangdi creften om vele,item neemt een boxs leuer ende braet die seer wel ende daer na besprenct dat metten bereiden kamfer daer na neemt een netken uan eenen kalue of scaep dat uersch is ende slaet dat net om die leuer daer na binde die leuer op een bert so ghi best moecht ende dan uangdi creften om uele
1509_voghelen_vanghen,head,28,0,True,a4r,¶ Dat xiij. capittel leert noch een ander manier om vele visschen te vanghen.,dat xiij capittel leert noch een ander manier om vele visschen te vanghen,dat xiii capittel leert noch een ander manier om uele uisschen te uanghen
1509_voghelen_vanghen,body,29,0,True,a4r,Item neemt reigers smout enen lepel vol ende siet dat wel in een panneken dattet stinct of ruke ende doet daer in een lepel honichs toe ende siet dat noch een male tot dattet taye is daer na stotet in een visel ende doeget oder malcanderen ende doeget daer na in een busken ende als ghi visschen vilt so salft die handen ende voeten metten sceenbeen achter ende voer ghi selt wonder sien.,item neemt reigers smout enen lepel vol ende siet dat wel in een panneken dattet stinct of ruke ende doet daer in een lepel honichs toe ende siet dat noch een male tot dattet taye is daer na stotet in een visel ende doeget oder malcanderen ende doeget daer na in een busken ende als ghi visschen vilt so salft die handen ende voeten metten sceenbeen achter ende voer ghi selt wonder sien,item neemt reigers smout enen lepel uol ende siet dat wel in een panneken dattet stinct of ruke ende doet daer in een lepel honichs toe ende siet dat noch een male tot dattet taye is daer na stotet in een uisel ende doeget oder malcanderen ende doeget daer na in een busken ende als ghi uisschen uilt so salft die handen ende uoeten metten sceenbeen achter ende uoer ghi selt wonder sien
1509_voghelen_vanghen,head,30,0,True,a4v,¶ Dat .xiiij. capittel leert berbeel vangen in onclaren wateren of snee.,dat xiiij capittel leert berbeel vangen in onclaren wateren of snee,dat xiiii capittel leert berbeel uangen in onclaren wateren of snee
1509_voghelen_vanghen,body,31,0,False,a4v,¶ Item neemt echelen ende doetse in eenen pot ende honich daer toe sughen die selue echelen of eghen dat honich ende steruen daer van. daer na neemt dye dode echelen ende maectse dorre of droge ende verwaertse ende wanneer dat ghijse besighen wilt so smijtse midden van een legtse in een lau water eenen nacht so worden si weder weeck daer na stectse an somer ende winter.,item neemt echelen ende doetse in eenen pot ende honich daer toe sughen die selue echelen of eghen dat honich ende steruen daer van daer na neemt dye dode echelen ende maectse dorre of droge ende verwaertse ende wanneer dat ghijse besighen wilt so smijtse midden van een legtse in een lau water eenen nacht so worden si weder weeck daer na stectse an somer ende winter,item neemt echelen ende doetse in eenen pot ende honich daer toe sughen die selue echelen of eghen dat honich ende steruen daer uan daer na neemt dye dode echelen ende maectse dorre of droge ende uerwaertse ende wanneer dat ghiise besighen wilt so smiitse midden uan een legtse in een lau water eenen nacht so worden si weder weeck daer na stectse an somer ende winter
1509_voghelen_vanghen,body,31,1,True,a4v,Aldus doet oec metten groten langhen wormen die vter aerden comen,aldus doet oec metten groten langhen wormen die vter aerden comen,aldus doet oec metten groten langhen wormen die uter aerden comen
1509_voghelen_vanghen,head,32,0,True,a4v,¶ Dat xv. ca. leert een sonderlinge aes maken in een yegelike maent daer men mede visschen mach,dat xv ca leert een sonderlinge aes maken in een yegelike maent daer men mede visschen mach,dat xu ca leert een sonderlinge aes maken in een yegelike maent daer men mede uisschen mach
