doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1477_caxton_cato,head,0,0,True,2,.Hic Incipit paruus Catho.,hic incipit paruus catho,hic incipit paruus catho
1477_caxton_cato,body,1,0,False,4,Cū a ̄adùterē quā plurimos hōnes ḡuiter errare,cū a ̄adùterē quā plurimos hōnes ḡuiter errare,cum animaduerterem quam plurimos homines grauiter errare
1477_caxton_cato,body,1,1,False,4,Whan I aduerte to my remembrance,whan i aduerte to my remembrance,whan i aduerte to my remembrance
1477_caxton_cato,body,1,2,False,4,And ſee how fele folkes erren greuouſly,and ſee how fele folkes erren greuouſly,and see how fele folkes erren greuously
1477_caxton_cato,body,1,3,False,4,In the wey of vertuouſe gouernance,in the wey of vertuouſe gouernance,in the wey of uertuouse gouernance
1477_caxton_cato,body,1,4,False,4,I haue ſuppoſed in myn hert that I,i haue ſuppoſed in myn hert that i,i haue supposed in myn hert that i
1477_caxton_cato,body,1,5,False,4,Oughte to ſupporte & conſeylle prudently,oughte to ſupporte & conſeylle prudently,oughte to supporte et conseylle prudently
1477_caxton_cato,body,1,6,False,4,Them to be vertuous in ſyuyng,them to be vertuous in ſyuyng,them to be uertuous in syuyng
1477_caxton_cato,body,1,7,False,4,And how they ſhal them ſelf in heneur bring,and how they ſhal them ſelf in heneur bring,and how they shal them self in heneur bring
1477_caxton_cato,body,1,8,False,4,Igitur fili cariſſime docebo te quo pacto mores,igitur fili cariſſime docebo te quo pacto mores,igitur fili carissime docebo te quo pacto mores
1477_caxton_cato,body,1,9,False,4,Therfore my leue child I ſhal now telle the,therfore my leue child i ſhal now telle the,therfore my leue child i shal now telle the
1477_caxton_cato,body,1,10,False,4,Herken me wele the maner and the guyſe,herken me wele the maner and the guyſe,herken me wele the maner and the guyse
1477_caxton_cato,body,1,11,False,4,How thy ſowle inward ſhal acqueinted be,how thy ſowle inward ſhal acqueinted be,how thy sowle inward shal acqueinted be
1477_caxton_cato,body,1,12,False,4,With thewes good & vertues in al wyſe,with thewes good & vertues in al wyſe,with thewes good et uertues in al wyse
