doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
635359081,body,0,0,True,1,Klag- vnd Troſt-Schrifftchen uͤber Dem zwar ſeeligen aber hochbetrauerlichen Abſchiede Des Ehrnveſten/ Wolgelahrten vnd weitberuͤhmbten Herrn M. Hartwich Wichelmanns/ Der Altſtaͤdtiſchen Schulen Koͤnigsb. geweſenen fleiſſigen Rectoris. Welcher 27. Hornung 1647. ſeelig im HErrn eingeſchlaffen/ vnd 3. Lentz Monat darauff ehrlich vnd Chriſtlich zur Erden beſtattet. Aus hertzlichem Mitleiden An die Hochbetruͤbte Hinterlaſſenen geſchrieben von Simon Dachen/ Gedruckt durch Johann Reuſnern.,klag vnd troſtschrifftchen uͤber dem zwar ſeeligen aber hochbetrauerlichen abſchiede des ehrnveſten wolgelahrten vnd weitberuͤhmbten herrn m hartwich wichelmanns der altſtaͤdtiſchen schulen koͤnigsb geweſenen fleiſſigen rectoris welcher hornung ſeelig im herrn eingeſchlaffen vnd lentz monat darauff ehrlich vnd chriſtlich zur erden beſtattet aus hertzlichem mitleiden an die hochbetruͤbte hinterlaſſenen geſchrieben von simon dachen gedruckt durch johann reuſnern,klag und trostschrifftchen uber dem zwar seeligen aber hochbetrauerlichen abschiede des ehrnuesten wolgelahrten und weitberuhmbten herrn m hartwich wichelmanns der altstadtischen schulen konigsb gewesenen fleissigen rectoris welcher hornung seelig im herrn eingeschlaffen und lentz monat darauff ehrlich und christlich zur erden bestattet aus hertzlichem mitleiden an die hochbetrubte hinterlassenen geschrieben uon simon dachen gedruckt durch iohann reusnern
635359081,body,1,0,False,2,O Hett ich jetzund nur die Zeit/,o hett ich jetzund nur die zeit,o hett ich ietzund nur die zeit
635359081,body,1,1,False,2,Jch wolte mit Euch klagen/,jch wolte mit euch klagen,ich wolte mit euch klagen
635359081,body,1,2,False,2,Vñ Euch dies groſſe Hertzenleid,vñ euch dies groſſe hertzenleid,und euch dies grosse hertzenleid
635359081,body,1,3,True,2,Aus Freundſchafft helffen tragen.,aus freundſchafft helffen tragen,aus freundschafft helffen tragen
635359081,body,2,0,False,2,Wie gern braͤcht ich doch zu Papier,wie gern braͤcht ich doch zu papier,wie gern bracht ich doch zu papier
635359081,body,2,1,False,2,Dies was mein Sinn gedencket/,dies was mein sinn gedencket,dies was mein sinn gedencket
635359081,body,2,2,False,2,Wie ſehr gern thaͤt ich kunt/ was mir,wie ſehr gern thaͤt ich kunt was mir,wie sehr gern that ich kunt was mir
635359081,body,2,3,True,2,Die Seele diesfals kraͤncket.,die seele diesfals kraͤncket,die seele diesfals krancket
635359081,body,3,0,False,2,Mein Hertz iſt voll bis oben an,mein hertz iſt voll bis oben an,mein hertz ist uoll bis oben an
635359081,body,3,1,False,2,Vnd kan faſt nichts mehr halten,vnd kan faſt nichts mehr halten,und kan fast nichts mehr halten
635359081,body,3,2,False,2,Von dieſem/ daß Herr Wichelmann,von dieſem daß herr wichelmann,uon diesem dass herr wichelmann
635359081,body,3,3,True,2,So fruͤh vns mus erkalten.,so fruͤh vns mus erkalten,so fruh uns mus erkalten
635359081,body,4,0,False,2,Jch denck an ſeinen hohen Fleiß,jch denck an ſeinen hohen fleiß,ich denck an seinen hohen fleiss
635359081,body,4,1,False,2,Vnd ſeltzam-wehrte Gaben/,vnd ſeltzamwehrte gaben,und seltzamwehrte gaben
635359081,body,4,2,False,2,Die jhm erworben ſolchen Preiß,die jhm erworben ſolchen preiß,die ihm erworben solchen preiss
635359081,body,4,3,True,2,Als hie ein Man kan haben.,als hie ein man kan haben,als hie ein man kan haben
635359081,body,5,0,False,2,Wer hat jhn mit beſtuͤrtzung nicht,wer hat jhn mit beſtuͤrtzung nicht,wer hat ihn mit besturtzung nicht
635359081,body,5,1,False,2,Jn Wiſſenſchafft gehoͤret/,jn wiſſenſchafft gehoͤret,in wissenschafft gehoret
635359081,body,5,2,False,2,Wenn er durch trewen Vnterricht,wenn er durch trewen vnterricht,wenn er durch trewen unterricht
635359081,body,5,3,True,2,Die Jugend hat gelehret.,die jugend hat gelehret,die iugend hat gelehret
635359081,body,6,0,False,3,Was Erde Meer vnd Himmel traͤgt,was erde meer vnd himmel traͤgt,was erde meer und himmel tragt
635359081,body,6,1,False,3,Vnd aller Dinge weſen/,vnd aller dinge weſen,und aller dinge wesen
635359081,body,6,2,False,3,Hat er in ſeinem Kopff gehegt,hat er in ſeinem kopff gehegt,hat er in seinem kopff gehegt
635359081,body,6,3,True,3,Vnd andern vor geleſen.,vnd andern vor geleſen,und andern uor gelesen
635359081,body,7,0,False,3,Worinn die Tugend muͤſſe ſtehn/,worinn die tugend muͤſſe ſtehn,worinn die tugend musse stehn
635359081,body,7,1,False,3,Was Rhue jhr ſey verliehen/,was rhue jhr ſey verliehen,was rhue ihr sey uerliehen
635359081,body,7,2,False,3,Was dieſe Reich' heiſſ' vntergehn,was dieſe reich heiſſ vntergehn,was diese reich heiss untergehn
635359081,body,7,3,True,3,Vnd jene herrlich bluͤhen.,vnd jene herrlich bluͤhen,und iene herrlich bluhen
635359081,body,8,0,False,3,Dies wahr geſampt jhm gruͤndlich,dies wahr geſampt jhm gruͤndlich,dies wahr gesampt ihm grundlich
635359081,body,8,1,False,3,Er hat auch dies daneben/ (kunt/,er hat auch dies daneben kunt,er hat auch dies daneben kunt
635359081,body,8,3,False,3,Daß er durch wol beredten Mund,daß er durch wol beredten mund,dass er durch wol beredten mund
635359081,body,8,4,True,3,Kunt' alles von ſich geben.,kunt alles von ſich geben,kunt alles uon sich geben
635359081,body,9,0,False,3,Waͤhr auch der weiſe von Stagihr,waͤhr auch der weiſe von stagihr,wahr auch der weise uon stagihr
635359081,body,9,1,False,3,Aus aller Welt verſchwunden/,aus aller welt verſchwunden,aus aller welt uerschwunden
635359081,body,9,2,False,3,Man hett' in ſeinem Kopff alhier,man hett in ſeinem kopff alhier,man hett in seinem kopff alhier
635359081,body,9,3,True,3,Denſelben wieder funden.,denſelben wieder funden,denselben wieder funden
635359081,body,10,0,False,3,Vnd in der Grund-Sprach alles,vnd in der grundsprach alles,und in der grundsprach alles
635359081,body,10,1,False,3,Er hielte nichts von denen/ (zwar/,er hielte nichts von denen zwar,er hielte nichts uon denen zwar
635359081,body,10,3,False,3,Die ſich Leibeigen jmmerdar,die ſich leibeigen jmmerdar,die sich leibeigen immerdar
635359081,body,10,4,True,3,Zur Außlegung gewehnen.,zur außlegung gewehnen,zur ausslegung gewehnen
635359081,body,11,0,False,4,Die/ wo die Blinden Leiter gehn/,die wo die blinden leiter gehn,die wo die blinden leiter gehn
635359081,body,11,1,False,4,Jmgleichen Blind da lauffen/,jmgleichen blind da lauffen,imgleichen blind da lauffen
635359081,body,11,2,True,4,Die klaren Brunnen laſſen ſtehn/ Vnd aus der Pfuͤtze ſauffen.,die klaren brunnen laſſen ſtehn vnd aus der pfuͤtze ſauffen,die klaren brunnen lassen stehn und aus der pfutze sauffen
635359081,body,12,0,False,4,Vnd hiedurch wahr er ſchon bekant,vnd hiedurch wahr er ſchon bekant,und hiedurch wahr er schon bekant
635359081,body,12,1,False,4,Da/ wo man kennet Tugend/,da wo man kennet tugend,da wo man kennet tugend
635359081,body,12,2,False,4,Deswegen denn ſo manches Land,deswegen denn ſo manches land,deswegen denn so manches land
635359081,body,12,3,True,4,Schickt' hieher ſeine Jugend,schickt hieher ſeine jugend,schickt hieher seine iugend
635359081,body,13,0,False,4,Wer viel iſt derer theils ſchon fort/,wer viel iſt derer theils ſchon fort,wer uiel ist derer theils schon fort
635359081,body,13,1,False,4,(O groſſe Tugend-Schrancken!),o groſſe tugendschrancken,o grosse tugendschrancken
635359081,body,13,2,False,4,Vnd theils lebt noch an dieſem Ort,vnd theils lebt noch an dieſem ort,und theils lebt noch an diesem ort
635359081,body,13,3,True,4,Die Jhm das jhre dancken.,die jhm das jhre dancken,die ihm das ihre dancken
635359081,body,14,0,False,4,Seht in was Anzahl folget man,seht in was anzahl folget man,seht in was anzahl folget man
635359081,body,14,1,False,4,Der Trawerhafften Leichen/,der trawerhafften leichen,der trawerhafften leichen
635359081,body,14,2,False,4,Ein jeder giebt/ ſo gut er kan/,ein jeder giebt ſo gut er kan,ein ieder giebt so gut er kan
635359081,body,14,3,True,4,Der Liebe klares Zeichen.,der liebe klares zeichen,der liebe klares zeichen
635359081,body,15,0,False,4,Klagt/ Kinder oder Freuͤnde/ klagt/,klagt kinder oder freuͤnde klagt,klagt kinder oder freunde klagt
635359081,body,15,1,False,4,Vergieſſet Blut fur Zehren/,vergieſſet blut fur zehren,uergiesset blut fur zehren
635359081,body,15,2,False,4,Der hat der Tugend gantz entſagt/,der hat der tugend gantz entſagt,der hat der tugend gantz entsagt
635359081,body,15,3,True,4,Der Euch es wolte wehren/,der euch es wolte wehren,der euch es wolte wehren
635359081,body,16,0,False,5,Dieweil die Weiſheit ſelber weint/,dieweil die weiſheit ſelber weint,dieweil die weisheit selber weint
635359081,body,16,1,False,5,Wie auch die Huld-Goͤttinnen/,wie auch die huldgoͤttinnen,wie auch die huldgottinnen
635359081,body,16,2,False,5,Vmb Jhn/ als jhren beſten Freuͤnd/,vmb jhn als jhren beſten freuͤnd,umb ihn als ihren besten freund
635359081,body,16,3,True,5,Vnd kommen ſchier von Sinnen.,vnd kommen ſchier von sinnen,und kommen schier uon sinnen
635359081,body,17,0,False,5,Ob dies noch moͤchte troͤſtlich ſeyn,ob dies noch moͤchte troͤſtlich ſeyn,ob dies noch mochte trostlich seyn
