doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
peckenstein_theatri02_1608,head,0,0,True,2,Theatri Saxonici Ander Theil / Darinnen ordentliche Warhaftige Beschreibungen von Erbawung vnnd Auffnemen der vornembsten Haupt vnd Fürsten Schlössere / Im Marggraffthumb Meissen / Der Chur Sachsen / Landgraffschafft Düringen / Vnd dem Voigtlande / So wol dem Burggraffthumb Magdeburg / etc. Zusampt dero Empter Vorzeichnis etc. Aus vielen alten Monumentis vnd Archivis colligirt Durch Laurentium Peccensteinium Churf. S. Histor. In Verlegung Henning Grossen des Eltern. Gedruckt zu Jehna im Jahr / M. DC. VIII.,theatri saxonici ander theil darinnen ordentliche warhaftige beschreibungen von erbawung vnnd auffnemen der vornembsten haupt vnd fürsten schlössere im marggraffthumb meissen der chur sachsen landgraffschafft düringen vnd dem voigtlande so wol dem burggraffthumb magdeburg etc zusampt dero empter vorzeichnis etc aus vielen alten monumentis vnd archivis colligirt durch laurentium peccensteinium churf s histor in verlegung henning grossen des eltern gedruckt zu jehna im jahr m dc viii,theatri saxonici ander theil darinnen ordentliche warhaftige beschreibungen uon erbawung unnd auffnemen der uornembsten haupt und fursten schlossere im marggraffthumb meissen der chur sachsen landgraffschafft duringen und dem uoigtlande so wol dem burggraffthumb magdeburg etc zusampt dero empter uorzeichnis etc aus uielen alten monumentis und archiuis colligirt durch laurentium peccensteinium churf s histor in uerlegung henning grossen des eltern gedruckt zu iehna im iahr m dc uiii
peckenstein_theatri02_1608,body,1,0,True,3,"Amplissimâ dignitate, Generis antiquitate, Eruditione & rerum usu Viris praestantiss:",amplissimâ dignitate generis antiquitate eruditione & rerum usu viris praestantiss,amplissima dignitate generis antiquitate eruditione et rerum usu uiris praestantiss
peckenstein_theatri02_1608,body,2,0,True,3,"Dn. JOANNI Löser in Pretatzsch Haereditario, Mareschallo Electoratus Saxon.",dn joanni löser in pretatzsch haereditario mareschallo electoratus saxon,dn ioanni loser in pretatzsch haereditario mareschallo electoratus saxon
peckenstein_theatri02_1608,body,3,0,False,3,Dn. JOANNI à Kostitz in Kriegersdorff.,dn joanni à kostitz in kriegersdorff,dn ioanni a kostitz in kriegersdorff
peckenstein_theatri02_1608,body,3,1,True,3,ET Dn. JOHAN ERNESTO ab Haugwitz in Potzka.,et dn johan ernesto ab haugwitz in potzka,et dn iohan ernesto ab haugwitz in potzka
peckenstein_theatri02_1608,body,4,0,False,3,"Praepositis & Praesidibus summis Ecclesiarum Naumburgensis, Mersburgensis & Misnensis, nec non Cizensis etc.",praepositis & praesidibus summis ecclesiarum naumburgensis mersburgensis & misnensis nec non cizensis etc,praepositis et praesidibus summis ecclesiarum naumburgensis mersburgensis et misnensis nec non cizensis etc
peckenstein_theatri02_1608,body,4,1,True,3,Dominis officiosè observandis.,dominis officiosè observandis,dominis officiose obseruandis
peckenstein_theatri02_1608,body,5,0,False,3,Hanc Pyrgographiam Principum & Ducum Saxonie etc.,hanc pyrgographiam principum & ducum saxonie etc,hanc pyrgographiam principum et ducum saxonie etc
peckenstein_theatri02_1608,body,5,1,True,3,Dicat & consecrat Officioso & humilimo animo Laurentius Peccenstenius Autor.,dicat & consecrat officioso & humilimo animo laurentius peccenstenius autor,dicat et consecrat officioso et humilimo animo laurentius peccenstenius autor
peckenstein_theatri02_1608,head,6,0,True,3,PRIMORUM AR CIUM MISNENSIUM Ducum Principumꝙ Saxoniae Origines.,primorum ar cium misnensium ducum principumꝙ saxoniae origines,primorum ar cium misnensium ducum principumquod saxoniae origines
peckenstein_theatri02_1608,head,7,0,True,3,I. Schlos Meissen.,i schlos meissen,i schlos meissen
