doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_kuchemaistrey_1490,head,0,0,True,5,Kuchemaistrey.,kuchemaistrey,kuchemaistrey
nn_kuchemaistrey_1490,head,1,0,True,6,Die vorred ditz buchs,die vorred ditz buchs,die uorred ditz buchs
nn_kuchemaistrey_1490,body,2,0,False,6,UJll menschen sein sunderlich vnd nit vnbillichenn geneigt tzu natuͤerlicher vnd lustiger speiße. sich der selben nach gesuntheyt yres leybes ordenlich zu gebrauchen vnd zu entpfahen.,ujll menschen sein sunderlich vnd nit vnbillichenn geneigt tzu natuͤerlicher vnd lustiger speiße sich der selben nach gesuntheyt yres leybes ordenlich zu gebrauchen vnd zu entpfahen,uill menschen sein sunderlich und nit unbillichenn geneigt tzu natuerlicher und lustiger speisse sich der selben nach gesuntheyt yres leybes ordenlich zu gebrauchen und zu entpfahen
nn_kuchemaistrey_1490,body,2,1,False,6,Hyrumb ist in dissem gegenwertygen buͤechlein genant kuͤechemaystrey gar kurtz Auch nuͤetzlich begriffen vnd angezeiget mit huͤebscher warhafftiger vntterweysunge von mangerley speyße. wie man die bereytten sol. vnd nachuolgundt stuͤersten vnd herren geistlichen oder weltlichen auch dem gemeinen man also fuͤer tragen vnd geben mag. von welcherley kreuͤeteren gewuͤertzten oder andern materien sie gemacht vnd bereit werden suͤellen.,hyrumb ist in dissem gegenwertygen buͤechlein genant kuͤechemaystrey gar kurtz auch nuͤetzlich begriffen vnd angezeiget mit huͤebscher warhafftiger vntterweysunge von mangerley speyße wie man die bereytten sol vnd nachuolgundt stuͤersten vnd herren geistlichen oder weltlichen auch dem gemeinen man also fuͤer tragen vnd geben mag von welcherley kreuͤeteren gewuͤertzten oder andern materien sie gemacht vnd bereit werden suͤellen,hyrumb ist in dissem gegenwertygen buechlein genant kuechemaystrey gar kurtz auch nuetzlich begriffen und angezeiget mit huebscher warhafftiger untterweysunge uon mangerley speysse wie man die bereytten sol und nachuolgundt stuersten und herren geistlichen oder weltlichen auch dem gemeinen man also fuer tragen und geben mag uon welcherley kreueteren gewuertzten oder andern materien sie gemacht und bereit werden suellen
nn_kuchemaistrey_1490,body,2,2,False,6,Es sey flaysch. huͤener. wilprat. visch. krebs. ayer. fuͤell. gebaches. suppen vnd gemuͤeß. etc das es den den kochen gar nuͤetz wer zu wissen. wen ein ordenlicher koch mit wol bereitter natuͤerlicher speiß ist hie in disser zeit der best artzt. vnd das zuuersten so der mensch solche speiße vnd getranck nit vberfluͤessig sunder sich des ordenlichen vnnd zu rechter zeit gebraucht. etc.,es sey flaysch huͤener wilprat visch krebs ayer fuͤell gebaches suppen vnd gemuͤeß etc das es den den kochen gar nuͤetz wer zu wissen wen ein ordenlicher koch mit wol bereitter natuͤerlicher speiß ist hie in disser zeit der best artzt vnd das zuuersten so der mensch solche speiße vnd getranck nit vberfluͤessig sunder sich des ordenlichen vnnd zu rechter zeit gebraucht etc,es sey flaysch huener wilprat uisch krebs ayer fuell gebaches suppen und gemuess etc das es den den kochen gar nuetz wer zu wissen wen ein ordenlicher koch mit wol bereitter natuerlicher speiss ist hie in disser zeit der best artzt und das zuuersten so der mensch solche speisse und getranck nit uberfluessig sunder sich des ordenlichen unnd zu rechter zeit gebraucht etc
nn_kuchemaistrey_1490,body,2,3,True,6,Darumb wirt ditz buͤechlein geteylt in fuͤenff teyl.,darumb wirt ditz buͤechlein geteylt in fuͤenff teyl,darumb wirt ditz buechlein geteylt in fuenff teyl
nn_kuchemaistrey_1490,body,3,0,False,6,¶ Jn dem ersten teyl. lernt es. wie man fastenspeyß bereiten sol von mancherley vischen. vnd auch biberschwentzen. etc. zu syeden. braten. gebachen. vnd wie man etliche darunter vergulden oder versilberen mag.,jn dem ersten teyl lernt es wie man fastenspeyß bereiten sol von mancherley vischen vnd auch biberschwentzen etc zu syeden braten gebachen vnd wie man etliche darunter vergulden oder versilberen mag,in dem ersten teyl lernt es wie man fastenspeyss bereiten sol uon mancherley uischen und auch biberschwentzen etc zu syeden braten gebachen und wie man etliche darunter uergulden oder uersilberen mag
nn_kuchemaistrey_1490,body,3,1,False,6,Auch wie man von gemuͤeß vnd suppen in mangerley weiß mit gewuͤertzten. vnd etlich mit farben bereiten vnd geben sol. etc.,auch wie man von gemuͤeß vnd suppen in mangerley weiß mit gewuͤertzten vnd etlich mit farben bereiten vnd geben sol etc,auch wie man uon gemuess und suppen in mangerley weiss mit gewuertzten und etlich mit farben bereiten und geben sol etc
nn_kuchemaistrey_1490,body,3,2,False,6,¶ Jn dem anderen teil lernt es zu den zeiten so fleisch zimlich zuessen ist die speiß zubereiten huͤener vnd wiltprat mit sampt anderen gebraten vnd gesotten warm oder kalt. als Galrat. Lebersultzen.,jn dem anderen teil lernt es zu den zeiten so fleisch zimlich zuessen ist die speiß zubereiten huͤener vnd wiltprat mit sampt anderen gebraten vnd gesotten warm oder kalt als galrat lebersultzen,in dem anderen teil lernt es zu den zeiten so fleisch zimlich zuessen ist die speiss zubereiten huener und wiltprat mit sampt anderen gebraten und gesotten warm oder kalt als galrat lebersultzen
nn_kuchemaistrey_1490,body,3,3,False,7,Lungen kuͤechlein holbraten knopfflein oder knodlein von fleysch vnd kuͤechlein von wilprat. mitsampt gutem gemuͤeß. vnd vil anderm hoflichen essen. etc.,lungen kuͤechlein holbraten knopfflein oder knodlein von fleysch vnd kuͤechlein von wilprat mitsampt gutem gemuͤeß vnd vil anderm hoflichen essen etc,lungen kuechlein holbraten knopfflein oder knodlein uon fleysch und kuechlein uon wilprat mitsampt gutem gemuess und uil anderm hoflichen essen etc
