doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
510581,head,0,0,True,[1],Chriſtliche Leichpredigt/ Vber die ſelige Hinfahrt Des Ehrwuͤrdigen/ Achtbaren vnd Wolgelaͤhrten Herren Jonæ Sachs/ Welcher ſeines Alters im drey vnd ſechtzigſten/ Seines treuen Predigambts zu Neurode im ein vnd dreiſſigſten/ Seines vnd vnſers Seligmachers JEſu Chriſti Geburt/ im tauſent ſechshundert vnd zwelfften Jahr/ Zu Neurode Den ſechſten tag des Chriſtmonats ſeliglich verſchieden/ Vnd den dreyzehenden hernach in die Kirche ehrlich begraben worden. Gehalten durch Balthaſar. Breuern/ Kirchendienern zu Folpersdorff. Gedruckt zur Lignitz durch Nicolaum Schneider.,chriſtliche leichpredigt vber die ſelige hinfahrt des ehrwuͤrdigen achtbaren vnd wolgelaͤhrten herren jonæ sachs welcher ſeines alters im drey vnd ſechtzigſten seines treuen predigambts zu neurode im ein vnd dreiſſigſten seines vnd vnſers seligmachers jeſu chriſti geburt im tauſent ſechshundert vnd zwelfften jahr zu neurode den ſechſten tag des chriſtmonats ſeliglich verſchieden vnd den dreyzehenden hernach in die kirche ehrlich begraben worden gehalten durch balthaſar breuern kirchendienern zu folpersdorff gedruckt zur lignitz durch nicolaum schneider,christliche leichpredigt uber die selige hinfahrt des ehrwurdigen achtbaren und wolgelahrten herren ionae sachs welcher seines alters im drey und sechtzigsten seines treuen predigambts zu neurode im ein und dreissigsten seines und unsers seligmachers iesu christi geburt im tausent sechshundert und zwelfften iahr zu neurode den sechsten tag des christmonats seliglich uerschieden und den dreyzehenden hernach in die kirche ehrlich begraben worden gehalten durch balthasar breuern kirchendienern zu folpersdorff gedruckt zur lignitz durch nicolaum schneider
510581,head,1,0,False,[2],Cl. & Excel.,cl & excel,cl et excel
510581,head,1,1,True,[2],"Viro Dn. Esaiæ Sachs, Doctori Medico, Comitatus Glacenſis Phyſico Ordinario, fautori & amico pl. honorando.",viro dn esaiæ sachs doctori medico comitatus glacenſis phyſico ordinario fautori & amico pl honorando,uiro dn esaiae sachs doctori medico comitatus glacensis physico ordinario fautori et amico pl honorando
510581,body,2,0,True,[2],ERgo ſuper chari precioſâ morte parentis,ergo ſuper chari precioſâ morte parentis,ergo super chari preciosa morte parentis
510581,body,3,0,True,[2],"Dicta, Vir excellens, ecce cupita tibi.",dicta vir excellens ecce cupita tibi,dicta uir excellens ecce cupita tibi
510581,body,4,0,True,[2],"Simplice dicta modo, cum magno dicta dolore.",simplice dicta modo cum magno dicta dolore,simplice dicta modo cum magno dicta dolore
510581,body,5,0,True,[2],Ah talem nobis nunc abiiſſe virum!,ah talem nobis nunc abiiſſe virum,ah talem nobis nunc abiisse uirum
510581,body,6,0,True,[2],"Ductus at â Domino est, ô quàm benè ductus: Opacum",ductus at â domino est ô quàm benè ductus opacum,ductus at a domino est o quam bene ductus opacum
510581,body,7,0,True,[2],"Oſſa ſepulcretum, Spiritus aſtra tenet.",oſſa ſepulcretum spiritus aſtra tenet,ossa sepulcretum spiritus astra tenet
510581,body,8,0,True,[2],"Donec & illa die, Chriſto revocante, reſurgant",donec & illa die chriſto revocante reſurgant,donec et illa die christo reuocante resurgant
510581,body,9,0,True,[2],"Ultimo, ut æternùm ſic ibi vivat ovans:",ultimo ut æternùm ſic ibi vivat ovans,ultimo ut aeternum sic ibi uiuat ouans
510581,body,10,0,True,[2],"Illi ubi, qui memores alios fecere docendo,",illi ubi qui memores alios fecere docendo,illi ubi qui memores alios fecere docendo
510581,body,11,0,True,[2],Splendebunt rutuli ut lucida tecta poli.,splendebunt rutuli ut lucida tecta poli,splendebunt rutuli ut lucida tecta poli
510581,body,12,0,True,[2],"Gaudia ubi, quæ non mortali cognita, viſa,",gaudia ubi quæ non mortali cognita viſa,gaudia ubi quae non mortali cognita uisa
510581,body,13,0,True,[2],"Audita, haud ullo diſſolüenda modo.",audita haud ullo diſſolüenda modo,audita haud ullo dissoluenda modo
510581,body,14,0,True,[2],"Qvò ſpe, quò precibus, qvò crebris ſumere votis",qvò ſpe quò precibus qvò crebris ſumere votis,quo spe quo precibus quo crebris sumere uotis
510581,body,15,0,True,[2],Ex miſerâ valle hac ſæpe ſolemus iter.,ex miſerâ valle hac ſæpe ſolemus iter,ex misera ualle hac saepe solemus iter
510581,body,16,0,True,[2],"O animas tandem, tandem qvoꝙ corpora ducat",o animas tandem tandem qvoꝙ corpora ducat,o animas tandem tandem quoquod corpora ducat
510581,body,17,0,True,[2],"Iſthuc, qvi ducit tam benè, noſtra Deus.",iſthuc qvi ducit tam benè noſtra deus,isthuc qui ducit tam bene nostra deus
510581,body,18,0,False,[2],Balthas.,balthas,balthas
510581,body,18,1,True,[2],Breuer offereb. ſub initium anni De Vs MIrIfICatsVos.,breuer offereb ſub initium anni de vs mirificatsvos,breuer offereb sub initium anni de us mirificatsuos
510581,head,19,0,True,[3],Chriſtliche Leichpredigt.,chriſtliche leichpredigt,christliche leichpredigt
510581,head,20,0,False,[3],Text.,text,text
510581,head,20,1,True,[3],Pſalm 4.,pſalm,psalm
510581,body,21,0,False,[3],GEliebte vnd andechtige in Chriſto JEſu vnſerm HERREN: O wie giebt es gemeiniglich ſehr betruͤbte Hertzen/ viel traurige Angeſichter/ tieffe ſeufftzer/ naſſe augen/ vnd ſonſten allerley jaͤmmerliches ausſehen mehr/ wo es alſo zugehet/ wies jetzt hier gehet: Da nicht allein eine vornehme Gottfuͤrchtige Wit Fraw jhren lieben Eheherren/ nicht allein ein namhaffter fromer Sohn ſeinen lieben Vater/ nicht allein Bluttsverwandten jhren nechſt Gott liebſten beſten Freund: ſondern auch eine gantze Kirchgemeine jhren vber die dreiſſig Jahr geweſenen treuen Pfarner vñ Warner/ viel hundert Seelen jhren treuen Waͤchter/ benachtbarte Mitarbeiter am Worte GOttes jhren lieben alten Herren Foͤderer vnd Vorgeher auff der Todtenbaare vor ſich haben; vnd nicht weit davon ein auffgeworffenes Grab in die Erde ſehen/ darein er ſol gelaſſen vnd geſcharret werden.,geliebte vnd andechtige in chriſto jeſu vnſerm herren o wie giebt es gemeiniglich ſehr betruͤbte hertzen viel traurige angeſichter tieffe ſeufftzer naſſe augen vnd ſonſten allerley jaͤmmerliches ausſehen mehr wo es alſo zugehet wies jetzt hier gehet da nicht allein eine vornehme gottfuͤrchtige wit fraw jhren lieben eheherren nicht allein ein namhaffter fromer sohn ſeinen lieben vater nicht allein bluttsverwandten jhren nechſt gott liebſten beſten freund ſondern auch eine gantze kirchgemeine jhren vber die dreiſſig jahr geweſenen treuen pfarner vñ warner viel hundert seelen jhren treuen waͤchter benachtbarte mitarbeiter am worte gottes jhren lieben alten herren foͤderer vnd vorgeher auff der todtenbaare vor ſich haben vnd nicht weit davon ein auffgeworffenes grab in die erde ſehen darein er ſol gelaſſen vnd geſcharret werden,geliebte und andechtige in christo iesu unserm herren o wie giebt es gemeiniglich sehr betrubte hertzen uiel traurige angesichter tieffe seufftzer nasse augen und sonsten allerley iammerliches aussehen mehr wo es also zugehet wies ietzt hier gehet da nicht allein eine uornehme gottfurchtige wit fraw ihren lieben eheherren nicht allein ein namhaffter fromer sohn seinen lieben uater nicht allein bluttsuerwandten ihren nechst gott liebsten besten freund sondern auch eine gantze kirchgemeine ihren uber die dreissig iahr gewesenen treuen pfarner und warner uiel hundert seelen ihren treuen wachter benachtbarte mitarbeiter am worte gottes ihren lieben alten herren foderer und uorgeher auff der todtenbaare uor sich haben und nicht weit dauon ein auffgeworffenes grab in die erde sehen darein er sol gelassen und gescharret werden
510581,body,21,1,False,[3],Wer koͤndte es denn vbel deuten/ das ſich gedachte Trauerzeichen bey dieſer volckreichen Verſamlung auch ſo mercklich ſpuͤren vnd ſehen laſſen?,wer koͤndte es denn vbel deuten das ſich gedachte trauerzeichen bey dieſer volckreichen verſamlung auch ſo mercklich ſpuͤren vnd ſehen laſſen,wer kondte es denn ubel deuten das sich gedachte trauerzeichen bey dieser uolckreichen uersamlung auch so mercklich spuren und sehen lassen
510581,body,21,2,False,[3],Wie were es faſt anders moͤglich?,wie were es faſt anders moͤglich,wie were es fast anders moglich
510581,body,21,3,False,[3],Ach ſinget doch Chriſtus der HErr ſelbſt ſeinem Freunde Lazaro zu Bethanien ein Grabeliedlein/ das ein Thraͤnen den andern ſchlegt: Wie koͤndten ſich denn Gliedmaſſen Chriſti vnter vnd vmb einander alles Leidtragens enthalten?,ach ſinget doch chriſtus der herr ſelbſt ſeinem freunde lazaro zu bethanien ein grabeliedlein das ein thraͤnen den andern ſchlegt wie koͤndten ſich denn gliedmaſſen chriſti vnter vnd vmb einander alles leidtragens enthalten,ach singet doch christus der herr selbst seinem freunde lazaro zu bethanien ein grabeliedlein das ein thranen den andern schlegt wie kondten sich denn gliedmassen christi unter und umb einander alles leidtragens enthalten
510581,body,21,4,False,[4],Vnd wenn villeicht manche andaͤchtige Liebhaber Goͤttliches Wortes dieſe ſtunde den abgrund jhres Hertzens ſolten offenbaren/ wuͤrden ſie bekennen/ das es jhnen vorkaͤme/ wie dieſes Gottes Haus/ dieſe Cantzel/ hoher Altar/ Tauffſtein vnd Beichtſtul gleichſam ſelbſt im trauren ſtuͤnden/ darumb das ſie jhres Verwalters nu mehr ſo ſchnell entbehren ſolten: Wie viel mehr iſt ſolches an lebendigen vernuͤnftigen Menſchen zu erachten?,vnd wenn villeicht manche andaͤchtige liebhaber goͤttliches wortes dieſe ſtunde den abgrund jhres hertzens ſolten offenbaren wuͤrden ſie bekennen das es jhnen vorkaͤme wie dieſes gottes haus dieſe cantzel hoher altar tauffſtein vnd beichtſtul gleichſam ſelbſt im trauren ſtuͤnden darumb das ſie jhres verwalters nu mehr ſo ſchnell entbehren ſolten wie viel mehr iſt ſolches an lebendigen vernuͤnftigen menſchen zu erachten,und wenn uilleicht manche andachtige liebhaber gottliches wortes diese stunde den abgrund ihres hertzens solten offenbaren wurden sie bekennen das es ihnen uorkame wie dieses gottes haus diese cantzel hoher altar tauffstein und beichtstul gleichsam selbst im trauren stunden darumb das sie ihres uerwalters nu mehr so schnell entbehren solten wie uiel mehr ist solches an lebendigen uernunftigen menschen zu erachten
510581,body,21,5,False,[4],Doch wil es bey Chriſten alſo getrauret ſein/ das man ſich auch wiederumb troͤſte/ vnd den genaͤdigen allzeit beſten Willen GOttes in Chriſtlicher geduld erkenne vnd trage.,doch wil es bey chriſten alſo getrauret ſein das man ſich auch wiederumb troͤſte vnd den genaͤdigen allzeit beſten willen gottes in chriſtlicher geduld erkenne vnd trage,doch wil es bey christen also getrauret sein das man sich auch wiederumb troste und den genadigen allzeit besten willen gottes in christlicher geduld erkenne und trage
510581,body,21,6,False,[4],Vnd eben darumb ſein wir auch jtzo vornemlich beyſammen/ das wir vns Troſtes aus Gottes Wort moͤchten erholen.,vnd eben darumb ſein wir auch jtzo vornemlich beyſammen das wir vns troſtes aus gottes wort moͤchten erholen,und eben darumb sein wir auch itzo uornemlich beysammen das wir uns trostes aus gottes wort mochten erholen
510581,body,21,7,False,[4],Denſelben wolt ich vor meine wenige Perſon/ weiß Gott/ gar viel lieber anhoͤren/ denn ſelbeſt ausreden: als der ich wol empfinde/ wie mir vber ſolchem fall zu mutte/ vnd auch ſonſten mein vnvermoͤgen dißfals wol kenne.,denſelben wolt ich vor meine wenige perſon weiß gott gar viel lieber anhoͤren denn ſelbeſt ausreden als der ich wol empfinde wie mir vber ſolchem fall zu mutte vnd auch ſonſten mein vnvermoͤgen dißfals wol kenne,denselben wolt ich uor meine wenige person weiss gott gar uiel lieber anhoren denn selbest ausreden als der ich wol empfinde wie mir uber solchem fall zu mutte und auch sonsten mein unuermogen dissfals wol kenne
510581,body,21,8,False,[4],Weil es aber je auff Chriſtliches guttduͤncken vnd begehren alſo hat ſein ſollen/ ſo ſey es im Namen des HErren/ vnd in gutter zuverſicht/ obs gleich nicht in voͤlliger genuͤge koͤnne verrichtet werden: ſo werde doch der liebe Gott genade verleihen/ das etliche Broſamlein nuͤtzliches vnterrichts vnd ſeliges Troſtes moͤgen geſamlet vnd auffgehaben werden.,weil es aber je auff chriſtliches guttduͤncken vnd begehren alſo hat ſein ſollen ſo ſey es im namen des herren vnd in gutter zuverſicht obs gleich nicht in voͤlliger genuͤge koͤnne verrichtet werden ſo werde doch der liebe gott genade verleihen das etliche broſamlein nuͤtzliches vnterrichts vnd ſeliges troſtes moͤgen geſamlet vnd auffgehaben werden,weil es aber ie auff christliches guttduncken und begehren also hat sein sollen so sey es im namen des herren und in gutter zuuersicht obs gleich nicht in uolliger genuge konne uerrichtet werden so werde doch der liebe gott genade uerleihen das etliche brosamlein nutzliches unterrichts und seliges trostes mogen gesamlet und auffgehaben werden
