doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
has_spruch_1516,head,0,0,True,108r,Ein ſpꝛuch vonn einem pecken knecht/ der funff vnſchuldiger menſchen grauſamlich ermoͤꝛdet zu Wienn in Oſterreych.,ein ſpꝛuch vonn einem pecken knecht der funff vnſchuldiger menſchen grauſamlich ermoͤꝛdet zu wienn in oſterreych,ein spuch uonn einem pecken knecht der funff unschuldiger menschen grausamlich ermodet zu wienn in osterreych
has_spruch_1516,body,1,0,True,109r,¶Jr herrn ich bit ewr gunſt vnd gnad,jr herrn ich bit ewr gunſt vnd gnad,ir herrn ich bit ewr gunst und gnad
has_spruch_1516,body,2,0,True,109r,Vernembt ein boͤſe miſſethat,vernembt ein boͤſe miſſethat,uernembt ein bose missethat
has_spruch_1516,body,3,0,True,109r,Die hat gethan ein pecken knecht,die hat gethan ein pecken knecht,die hat gethan ein pecken knecht
has_spruch_1516,body,4,0,True,109r,Vnd der het ſein vernunfft nit recht,vnd der het ſein vernunfft nit recht,und der het sein uernunfft nit recht
has_spruch_1516,body,5,0,True,109r,Als ich euch dan beſcheyden will,als ich euch dan beſcheyden will,als ich euch dan bescheyden will
has_spruch_1516,body,6,0,True,109r,Sein vater het gelts vnd guts vill,sein vater het gelts vnd guts vill,sein uater het gelts und guts uill
has_spruch_1516,body,7,0,True,109r,Vnd was ſein veterlicher mut,vnd was ſein veterlicher mut,und was sein ueterlicher mut
has_spruch_1516,body,8,0,True,109r,Wie er den ſun auff alles gut,wie er den ſun auff alles gut,wie er den sun auff alles gut
has_spruch_1516,body,9,0,True,109r,Moͤcht ziehen auff ein ſitlich leben,moͤcht ziehen auff ein ſitlich leben,mocht ziehen auff ein sitlich leben
has_spruch_1516,body,10,0,True,109r,Thet jm ein gutte zerung geben,thet jm ein gutte zerung geben,thet im ein gutte zerung geben
has_spruch_1516,body,11,0,True,109r,Vnd gab jm auch die leer da bey,vnd gab jm auch die leer da bey,und gab im auch die leer da bey
has_spruch_1516,body,12,0,True,109r,Laß yederman ſein wer er ſey,laß yederman ſein wer er ſey,lass yederman sein wer er sey
has_spruch_1516,body,13,0,True,109r,Vnd halt dich bey den lewtten ſtill,vnd halt dich bey den lewtten ſtill,und halt dich bey den lewtten still
has_spruch_1516,body,14,0,True,109r,Huͤt dich voꝛ frawen vnd voꝛ ſpill,huͤt dich voꝛ frawen vnd voꝛ ſpill,hut dich uo frawen und uo spill
has_spruch_1516,body,15,0,True,109r,Laß dich nit vber geen den wein,laß dich nit vber geen den wein,lass dich nit uber geen den wein
has_spruch_1516,body,16,0,True,109r,Huͤt dich wo boͤß geſellen ſein,huͤt dich wo boͤß geſellen ſein,hut dich wo boss gesellen sein
has_spruch_1516,body,17,0,True,109r,Als bald du ire werck verſteeſt,als bald du ire werck verſteeſt,als bald du ire werck uersteest
has_spruch_1516,body,18,0,True,109r,Ye weytter du dan von jn geeſt,ye weytter du dan von jn geeſt,ye weytter du dan uon in geest
has_spruch_1516,body,19,0,True,109r,Ye baß es dir kumbt zu gewin,ye baß es dir kumbt zu gewin,ye bass es dir kumbt zu gewin
has_spruch_1516,body,20,0,True,109r,Mein lieber ſun nun far du hin,mein lieber ſun nun far du hin,mein lieber sun nun far du hin
has_spruch_1516,body,21,0,True,109r,Vnd brauch dich deiner iugen recht,vnd brauch dich deiner iugen recht,und brauch dich deiner iugen recht
